ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
104,300002 ,2015JJ00,1669.0,1392.0,1074.0,30.0,195.0,670.0,130.0,49.0,0.0,,318.0,208.0,21.0,89.0,,277.0,107.0,,9.0,35.0,126.0
105,300002 ,2016JJ00,1499.0,1199.0,899.0,30.0,3.0,622.0,192.0,52.0,0.0,,300.0,203.0,22.0,75.0,,300.0,111.0,,13.0,38.0,138.0
106,300002 ,2017JJ00,1606.0,1316.0,1003.0,33.0,2.0,716.0,198.0,54.0,0.0,,313.0,197.0,38.0,78.0,,290.0,108.0,,10.0,38.0,134.0
107,300002 ,2018JJ00,1749.0,1458.0,1141.0,32.0,2.0,798.0,256.0,53.0,0.0,,317.0,207.0,28.0,82.0,,291.0,112.0,,7.0,39.0,133.0
108,300002 ,2019JJ00,2126.0,1815.0,1517.0,75.0,1.0,875.0,512.0,54.0,0.0,,298.0,207.0,23.0,68.0,,311.0,115.0,,10.0,40.0,146.0
109,300002 ,2020JJ00,2184.0,1867.0,1594.0,82.0,1.0,1026.0,431.0,54.0,0.0,,273.0,185.0,16.0,72.0,,317.0,124.0,,11.0,40.0,142.0
110,300002 ,2021JJ00,2392.0,2049.0,1761.0,86.0,1.0,1129.0,477.0,66.0,0.0,2.0,288.0,199.0,16.0,73.0,,343.0,143.0,,10.0,45.0,145.0
111,300002 ,2022JJ00,3232.0,2887.0,2615.0,83.0,1.0,1454.0,1012.0,62.0,0.0,3.0,272.0,170.0,16.0,86.0,,345.0,142.0,,7.0,48.0,148.0
112,305700 ,1995JJ00,15.0,14.0,3.0,1.0,2.0,0.0,0.0,0.0,,,11.0,10.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0
113,305700 ,1996JJ00,15.0,14.0,3.0,1.0,1.0,1.0,0.0,0.0,,,11.0,10.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0
114,305700 ,1997JJ00,7.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,,,2.0,1.0,1.0,0.0,,2.0,2.0,,0.0,0.0,0.0
115,305700 ,1998JJ00,6.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,1.0,1.0,0.0,,2.0,2.0,,0.0,0.0,0.0
116,305700 ,1999JJ00,17.0,15.0,3.0,1.0,2.0,0.0,0.0,0.0,,,12.0,10.0,2.0,0.0,,2.0,2.0,,0.0,0.0,0.0
117,305700 ,2000JJ00,9.0,8.0,5.0,1.0,1.0,3.0,0.0,0.0,,,3.0,1.0,2.0,0.0,,1.0,1.0,,0.0,0.0,0.0
118,305700 ,2001JJ00,17.0,16.0,14.0,1.0,5.0,8.0,0.0,0.0,,,2.0,1.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0
119,305700 ,2002JJ00,20.0,19.0,15.0,1.0,9.0,5.0,0.0,0.0,,,4.0,3.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0
120,305700 ,2003JJ00,40.0,39.0,24.0,1.0,15.0,8.0,0.0,0.0,,,15.0,14.0,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0
