ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
91,305700,1993JJ00,36.0,,,,,,,,,,,0.0,,0.0,2.0,,,0.0,,,30.0,,1.0,2.0,,0.0
92,305700,1994JJ00,33.0,,,,,,,,,,,0.0,,0.0,2.0,,,0.0,,,28.0,,1.0,2.0,,0.0
93,305700,1995JJ00,31.0,0.0,,,,,,,,,,0.0,,0.0,2.0,,,,,,27.0,,1.0,1.0,,0.0
94,305700,1996JJ00,37.0,0.0,,,,,,,,,,0.0,,0.0,2.0,,,,,,33.0,,1.0,1.0,,0.0
95,305700,1997JJ00,37.0,0.0,,,,,,,,0.0,,0.0,,0.0,1.0,,,,,,32.0,,1.0,2.0,,0.0
96,305700,1998JJ00,46.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,39.0,,1.0,3.0,,0.0
97,305700,1999JJ00,42.0,0.0,,,,,,,,,,0.0,,0.0,1.0,,,,,,36.0,,2.0,3.0,,0.0
98,305700,2000JJ00,51.0,0.0,,,,,,,,,,0.0,,0.0,1.0,,,,,,36.0,,3.0,10.0,,0.0
99,305700,2001JJ00,53.0,0.0,,,,,,,,,,0.0,,0.0,1.0,,,,,,38.0,,5.0,8.0,,0.0
100,305700,2002JJ00,55.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,36.0,,8.0,8.0,,1.0
101,305700,2003JJ00,57.0,0.0,,,,,,,,,,0.0,,2.0,1.0,,,,,,34.0,,10.0,9.0,,1.0
102,305700,2004JJ00,58.0,0.0,,,,,,,,,,0.0,,2.0,1.0,,,,,,34.0,,11.0,9.0,,1.0
103,305700,2005JJ00,56.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,32.0,,11.0,10.0,,1.0
104,305700,2006JJ00,51.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,29.0,,11.0,9.0,,0.0
105,305700,2007JJ00,48.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,26.0,,10.0,9.0,,0.0
106,305700,2008JJ00,45.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,27.0,,11.0,5.0,,0.0
107,305700,2009JJ00,44.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,28.0,,9.0,4.0,,0.0
108,305700,2010JJ00,48.0,0.0,,,,,,,,,,0.0,,0.0,1.0,,,,,,31.0,,11.0,4.0,,0.0
109,305700,2011JJ00,49.0,0.0,,,,,,,,,,0.0,,1.0,1.0,,,,,,30.0,,11.0,6.0,,0.0
110,307500,1990JJ00,1197.0,33.0,38.0,10.0,8.0,,,,,83.0,93.0,2.0,1.0,10.0,12.0,28.0,149.0,2.0,,69.0,306.0,3.0,126.0,151.0,3.0,73.0
111,307500,1991JJ00,1181.0,28.0,35.0,10.0,6.0,,,,,81.0,81.0,2.0,0.0,8.0,13.0,31.0,136.0,3.0,,71.0,318.0,3.0,125.0,153.0,3.0,74.0
112,307500,1992JJ00,1180.0,25.0,31.0,10.0,8.0,,,,,74.0,115.0,3.0,0.0,5.0,13.0,30.0,125.0,3.0,,59.0,308.0,2.0,126.0,159.0,3.0,80.0
113,307500,1993JJ00,1156.0,28.0,33.0,11.0,10.0,,,,,62.0,88.0,2.0,0.0,2.0,14.0,30.0,136.0,3.0,,70.0,307.0,2.0,126.0,151.0,3.0,77.0
