ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
266,GM1714,13850,3890,11340,3090,2100,220,60,50,60,70,70,50,80,90,11400,24500,3200,26500,3600,400,400,12,2,20,2550,308,210,10,60,10,10,140
267,GM0090,35070,12110,24940,8440,6130,730,440,410,450,460,480,460,490,510,25200,22500,8300,23300,11300,1500,1400,27,6,21,7160,2113,1360,120,100,120,60,710
268,GM0342,28300,10050,20400,7130,5200,520,180,160,180,200,230,230,230,240,20400,28100,6800,29200,9300,1000,1000,23,3,12,4320,826,540,30,30,30,30,410
269,GM0847,12730,3740,8130,2980,1910,140,40,30,40,40,60,60,70,60,7900,24900,2900,27200,3500,400,300,11,2,21,1640,248,220,20,20,10,20,110
270,GM0848,10170,3720,7100,2680,1930,170,60,50,60,60,80,80,90,80,7000,29300,2600,29900,3500,300,300,9,1,13,1340,248,190,10,20,10,10,130
271,GM0037,19330,6080,14600,4580,3160,370,220,210,220,230,250,230,250,260,14900,21200,4600,22300,5900,1000,900,15,3,21,4570,1113,860,90,140,90,80,260
272,GM0180,10580,4960,5870,2810,2030,90,30,20,30,30,50,40,50,40,5600,24300,2700,24500,4700,300,400,8,2,29,1270,158,170,20,10,20,10,110
273,GM0532,13480,4700,9130,3450,2460,260,80,80,90,80,100,90,100,110,9100,24300,3400,25500,4500,500,400,11,3,27,1930,323,370,40,20,40,20,190
274,GM0851,16470,4450,11960,3500,2390,220,90,70,90,90,110,100,120,110,10700,24500,3400,26500,4200,400,400,12,3,21,2910,392,210,30,30,20,10,190
275,GM1708,27350,9320,19250,6510,4670,490,190,170,190,210,210,200,220,230,19000,23400,6300,24100,8800,1000,1000,22,4,17,4560,895,660,60,60,60,10,370
276,GM0971,15310,4120,11550,3670,2370,240,70,60,70,80,80,80,80,80,11400,24500,3700,26000,4000,400,400,14,2,16,2500,371,280,30,20,30,0,220
277,GM1904,40350,14140,27880,10480,7440,690,190,180,190,200,220,220,230,220,27700,28900,10300,30500,13200,1000,900,34,6,17,5540,956,430,60,70,60,20,560
278,GM1900,55220,19650,39780,13250,9760,1030,540,510,540,570,640,610,650,660,40000,23400,13300,24700,19100,2100,2000,49,9,18,9550,2726,1400,100,50,100,60,760
279,GM0715,33290,10250,25640,7760,5460,670,290,290,300,300,320,300,340,330,25500,24200,7600,25400,9300,1300,1100,27,6,22,6890,1191,650,40,250,40,30,500
280,GM0093,3180,800,2460,590,400,30,0,0,0,10,0,0,0,10,2500,22500,600,28000,800,100,100,2,0,12,340,28,30,0,0,0,0,20
281,GM0448,8380,2430,6370,1830,1270,150,30,30,30,30,40,30,40,40,6400,23800,1800,25200,2500,300,300,5,1,20,1210,137,200,20,30,20,10,80
282,GM1525,23900,8150,15660,6040,4360,430,50,40,60,60,80,80,90,80,15100,29100,5800,30900,7600,400,400,20,2,12,2810,372,320,50,40,50,30,320
