ID,HerkomstBestemming,Perioden,CO2_1,N2O_2,CH4_3,BroeikasgasEquivalent_4,NOx_5,SO2_6,NH3_7,ZuurEquivalent_8,CFK12Equivalent_9,PM10_10,FijnStofEquivalent_11,CO_12,NMVOS_13
42,03,1992JJ00,21127.0,0.2,20.9,21667.0,20.1,0.9,8.8,1.0,346.6,4.2,4.2,66.9,37.3
43,03,1993JJ00,22284.0,0.2,21.5,22844.0,21.0,0.9,8.8,1.0,246.0,4.1,4.1,65.2,37.3
44,03,1994JJ00,21157.0,0.2,20.3,21699.0,19.8,0.8,8.7,1.0,161.2,4.0,4.0,63.4,37.2
45,03,1995JJ00,22245.0,0.2,20.9,22806.0,20.7,0.7,8.9,1.0,92.3,3.9,3.9,61.7,37.2
46,03,1996JJ00,25682.0,0.3,23.2,26314.0,23.5,0.6,8.8,1.1,97.3,3.8,3.8,62.4,38.6
47,03,1997JJ00,21679.0,0.2,20.3,22247.0,19.8,0.5,8.9,1.0,92.2,3.9,3.9,61.6,37.1
48,03,1998JJ00,20666.0,0.2,19.3,21221.0,18.5,0.5,9.0,0.9,78.8,3.8,3.8,60.4,33.6
49,03,1999JJ00,20395.0,0.2,18.7,20904.0,18.2,0.5,9.0,0.9,79.4,3.6,3.6,54.0,32.2
50,03,2000JJ00,20519.0,0.2,18.8,21227.0,18.4,0.5,9.1,0.9,73.6,3.8,3.8,60.0,33.6
51,03,2001JJ00,21253.0,0.2,19.0,21920.0,18.7,0.5,9.1,1.0,70.7,3.7,3.7,58.8,33.6
52,03,2002JJ00,20151.0,0.2,18.0,20778.0,17.4,0.5,9.2,0.9,67.7,3.7,3.7,55.8,33.4
53,03,2003JJ00,20595.0,0.2,18.2,21268.0,17.4,0.5,9.2,0.9,64.7,3.6,3.6,54.7,32.8
54,03,2004JJ00,20323.0,0.2,17.8,21021.0,16.5,0.5,9.2,0.9,61.7,3.5,3.5,54.6,31.0
55,03,2005JJ00,19422.0,0.2,16.9,20111.0,15.2,0.5,10.4,1.0,58.8,3.3,3.3,54.3,31.6
56,03,2006JJ00,18649.0,0.2,16.2,19360.0,14.2,0.5,10.4,0.9,55.8,3.3,3.3,54.1,31.7
57,03,2007JJ00,17251.0,0.2,15.1,17973.0,12.7,0.5,10.5,0.9,52.8,3.4,3.4,53.7,32.0
