ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
230,A025447  ,A044109  ,2010JJ00,147.1
231,A025447  ,A044109  ,2011JJ00,134.1
232,A025447  ,A044109  ,2012JJ00,132.1
233,A025447  ,A044109  ,2013JJ00,132.6
234,A025447  ,A044109  ,2014JJ00,128.3
235,A025447  ,A044109  ,2015JJ00,134.9
236,A025447  ,A044109  ,2016JJ00,135.2
237,A025447  ,A044109  ,2017JJ00,131.6
238,A025447  ,A044109  ,2018JJ00,127.1
239,A025447  ,A044109  ,2019JJ00,121.9
240,A025447  ,A044109  ,2020JJ00,110.1
241,A025447  ,A044109  ,2021JJ00,113.6
242,A025447  ,A044109  ,2022JJ00,100.2
243,A025447  ,A044109  ,2023JJ00,89.7
244,A025447  ,A044109  ,2024JJ00,90.0
245,A025447  ,A044110  ,1990JJ00,16.0
246,A025447  ,A044110  ,1991JJ00,16.1
247,A025447  ,A044110  ,1992JJ00,16.3
248,A025447  ,A044110  ,1993JJ00,16.6
249,A025447  ,A044110  ,1994JJ00,16.1
250,A025447  ,A044110  ,1995JJ00,16.0
251,A025447  ,A044110  ,1996JJ00,16.0
252,A025447  ,A044110  ,1997JJ00,15.8
253,A025447  ,A044110  ,1998JJ00,15.3
254,A025447  ,A044110  ,1999JJ00,14.7
255,A025447  ,A044110  ,2000JJ00,14.1
256,A025447  ,A044110  ,2001JJ00,13.3
257,A025447  ,A044110  ,2002JJ00,12.5
258,A025447  ,A044110  ,2003JJ00,12.4
259,A025447  ,A044110  ,2004JJ00,12.7
260,A025447  ,A044110  ,2005JJ00,12.7
261,A025447  ,A044110  ,2006JJ00,12.7
262,A025447  ,A044110  ,2007JJ00,11.3
263,A025447  ,A044110  ,2008JJ00,8.0
264,A025447  ,A044110  ,2009JJ00,7.8
265,A025447  ,A044110  ,2010JJ00,7.6
266,A025447  ,A044110  ,2011JJ00,7.4
267,A025447  ,A044110  ,2012JJ00,7.3
268,A025447  ,A044110  ,2013JJ00,7.4
269,A025447  ,A044110  ,2014JJ00,7.6
270,A025447  ,A044110  ,2015JJ00,7.8
271,A025447  ,A044110  ,2016JJ00,7.5
272,A025447  ,A044110  ,2017JJ00,7.7
