ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
278,PV26,2023JJ00,0.0,1.0,15.0,0.0,0.0,112.0,0.0,0.0,34.0,82.0,94.0,31.4,828.0,2746.0
279,PV26,2024JJ00,0.0,0.0,15.0,0.0,0.0,112.0,0.0,0.0,34.0,80.0,84.0,28.2,747.0,2478.0
280,PV27,1990JJ00,2.0,,68.0,1.0,,21.0,0.0,,10.0,,,,,
281,PV27,1991JJ00,5.0,1.0,72.0,2.0,0.0,23.0,1.0,0.0,11.0,,,,,
282,PV27,1992JJ00,17.0,3.0,86.0,11.0,0.0,34.0,6.0,0.0,17.0,,,,,
283,PV27,1993JJ00,5.0,,91.0,2.0,,36.0,1.0,,18.0,,,,,
284,PV27,1994JJ00,24.0,10.0,105.0,12.0,3.0,44.0,4.0,1.0,21.0,,,,,
285,PV27,1995JJ00,49.0,17.0,137.0,22.0,7.0,60.0,8.0,4.0,25.0,,,,,
286,PV27,1996JJ00,31.0,7.0,161.0,23.0,2.0,81.0,8.0,1.0,33.0,,,,,
287,PV27,1997JJ00,21.0,1.0,181.0,17.0,0.0,97.0,6.0,0.0,39.0,,,,,
288,PV27,1998JJ00,14.0,,195.0,17.0,,114.0,7.0,,45.0,,,,,
289,PV27,1999JJ00,22.0,1.0,216.0,29.0,0.0,143.0,12.0,0.0,57.0,,,,,
290,PV27,2000JJ00,11.0,,227.0,16.0,,160.0,6.0,,63.0,,,,,
291,PV27,2001JJ00,19.0,1.0,245.0,31.0,0.0,191.0,12.0,0.0,75.0,,,,,
292,PV27,2002JJ00,20.0,15.0,250.0,51.0,11.0,231.0,24.0,5.0,93.0,174.0,162.0,22.7,785.0,1987.0
293,PV27,2003JJ00,48.0,19.0,279.0,130.0,7.0,354.0,58.0,2.0,150.0,241.0,234.0,20.5,751.0,1798.0
294,PV27,2004JJ00,30.0,22.0,287.0,84.0,8.0,430.0,37.0,3.0,183.0,338.0,359.0,23.7,887.0,2084.0
295,PV27,2005JJ00,14.0,23.0,278.0,57.0,5.0,481.0,25.0,2.0,206.0,356.0,362.0,21.5,807.0,1886.0
296,PV27,2006JJ00,16.0,4.0,290.0,40.0,3.0,519.0,18.0,1.0,223.0,412.0,444.0,23.5,885.0,2061.0
297,PV27,2007JJ00,19.0,6.0,303.0,71.0,17.0,574.0,31.0,6.0,249.0,467.0,508.0,24.4,921.0,2135.0
