ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
2222,T20,PV23  ,2015JJ00,1723.0,1527.0,34.0,161.0,20340.0,3000.0,2990.0,2620.0,380.0,10.0,17350.0,8480.0,2030.0,720.0,2.0,20.0,10.0,98.0,15720.0,7780.0,-15690.0,-1434.0,-7770.0,-710.0
2223,T20,PV23  ,2016JJ00,1671.0,1479.0,31.0,161.0,19800.0,2890.0,2880.0,2520.0,360.0,10.0,16920.0,8300.0,1970.0,690.0,2.0,20.0,10.0,98.0,15340.0,7630.0,-15320.0,-1437.0,-7620.0,-715.0
2224,T20,PV23  ,2017JJ00,1627.0,1444.0,29.0,154.0,19240.0,2560.0,2560.0,2200.0,350.0,10.0,16690.0,7850.0,1940.0,710.0,3.0,10.0,10.0,97.0,15030.0,7170.0,-15010.0,-1451.0,-7170.0,-693.0
2225,T20,PV24  ,1990JJ00,29.0,25.0,1.0,3.0,350.0,70.0,60.0,60.0,0.0,0.0,290.0,200.0,,20.0,11.0,,0.0,89.0,250.0,180.0,,,-180.0,-1847.0
2226,T20,PV24  ,1994JJ00,25.0,19.0,0.0,6.0,390.0,80.0,80.0,70.0,10.0,0.0,310.0,230.0,,0.0,0.0,,0.0,100.0,310.0,230.0,,,-230.0,-11340.0
2227,T20,PV24  ,1995JJ00,30.0,22.0,2.0,7.0,410.0,80.0,80.0,80.0,10.0,0.0,330.0,200.0,,20.0,0.0,,0.0,100.0,290.0,180.0,,,-180.0,-1221.0
2228,T20,PV24  ,1996JJ00,41.0,30.0,2.0,8.0,570.0,110.0,110.0,100.0,10.0,0.0,460.0,270.0,,20.0,0.0,,0.0,100.0,400.0,240.0,,,-240.0,-1292.0
2229,T20,PV24  ,1997JJ00,41.0,30.0,2.0,8.0,530.0,120.0,120.0,110.0,10.0,0.0,420.0,260.0,,30.0,0.0,,0.0,100.0,360.0,240.0,,,-240.0,-1103.0
2230,T20,PV24  ,1998JJ00,37.0,26.0,1.0,10.0,530.0,110.0,110.0,110.0,10.0,0.0,410.0,270.0,,20.0,0.0,,0.0,100.0,370.0,250.0,,,-250.0,-1401.0
2231,T20,PV24  ,1999JJ00,40.0,24.0,1.0,15.0,810.0,240.0,240.0,230.0,10.0,0.0,570.0,400.0,,20.0,4.0,,0.0,96.0,520.0,380.0,,,-380.0,-1991.0
