ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
470,A048695,1990MM05,96.0,28311.0
471,A048695,1990MM06,87.4,25605.0
472,A048695,1990MM07,78.5,23205.0
473,A048695,1990MM08,94.5,28751.0
474,A048695,1990MM09,100.1,30582.0
475,A048695,1990MM10,120.5,36164.0
476,A048695,1990MM11,123.0,37059.0
477,A048695,1990MM12,106.6,32406.0
478,A048695,1990JJ00,1178.9,355371.0
479,A048695,1991MM01,124.3,38775.0
480,A048695,1991MM02,108.4,33856.0
481,A048695,1991MM03,116.1,36588.0
482,A048695,1991MM04,114.9,36089.0
483,A048695,1991MM05,121.8,38637.0
484,A048695,1991MM06,104.2,32883.0
485,A048695,1991MM07,102.2,32439.0
486,A048695,1991MM08,113.2,35733.0
487,A048695,1991MM09,123.9,39211.0
488,A048695,1991MM10,135.9,42855.0
489,A048695,1991MM11,132.7,41843.0
490,A048695,1991MM12,119.7,37790.0
491,A048695,1991JJ00,1417.3,446699.0
492,A048695,1992MM01,134.3,42873.0
493,A048695,1992MM02,115.6,37631.0
494,A048695,1992MM03,126.1,40610.0
495,A048695,1992MM04,111.0,36105.0
496,A048695,1992MM05,113.5,36559.0
497,A048695,1992MM06,113.9,36751.0
498,A048695,1992MM07,105.5,33752.0
499,A048695,1992MM08,106.0,34003.0
500,A048695,1992MM09,117.6,37438.0
501,A048695,1992MM10,116.1,37177.0
502,A048695,1992MM11,118.6,38913.0
503,A048695,1992MM12,120.8,39624.0
504,A048695,1992JJ00,1399.0,451436.0
505,A048695,1993MM01,115.2,37313.0
506,A048695,1993MM02,109.3,35306.0
507,A048695,1993MM03,123.6,39585.0
508,A048695,1993MM04,106.2,34534.0
509,A048695,1993MM05,98.3,31873.0
510,A048695,1993MM06,110.2,35655.0
511,A048695,1993MM07,93.3,30046.0
512,A048695,1993MM08,100.6,32809.0
513,A048695,1993MM09,108.4,35028.0
514,A048695,1993MM10,107.5,34499.0
515,A048695,1993MM11,121.9,39464.0
516,A048695,1993MM12,118.4,38523.0
517,A048695,1993JJ00,1312.9,424635.0
518,A048695,1994MM01,116.4,37946.0
519,A048695,1994MM02,104.4,33857.0
520,A048695,1994MM03,119.8,38927.0
521,A048695,1994MM04,102.2,33225.0
522,A048695,1994MM05,97.9,31949.0
523,A048695,1994MM06,98.6,32291.0
524,A048695,1994MM07,77.2,25074.0
525,A048695,1994MM08,101.6,32971.0
526,A048695,1994MM09,108.0,35021.0
527,A048695,1994MM10,106.9,34805.0
528,A048695,1994MM11,117.1,38008.0
529,A048695,1994MM12,109.7,36105.0
530,A048695,1994JJ00,1259.8,410179.0
531,A048695,1995MM01,111.6,36612.0
532,A048695,1995MM02,97.0,31890.0
533,A048695,1995MM03,107.8,35532.0
534,A048695,1995MM04,90.0,29731.0
535,A048695,1995MM05,100.5,33168.0
536,A048695,1995MM06,91.4,29967.0
537,A048695,1995MM07,72.7,24003.0
538,A048695,1995MM08,91.0,29694.0
539,A048695,1995MM09,98.5,32135.0
540,A048695,1995MM10,108.2,34951.0
541,A048695,1995MM11,113.1,36271.0
542,A048695,1995MM12,98.9,32171.0
543,A048695,1995JJ00,1180.7,386125.0
544,A048695,1996MM01,111.4,35950.0
545,A048695,1996MM02,96.8,31460.0
546,A048695,1996MM03,93.3,30441.0
547,A048695,1996MM04,73.1,24406.0
548,A048695,1996MM05,97.5,32377.0
549,A048695,1996MM06,88.3,29159.0
550,A048695,1996MM07,97.5,31496.0
551,A048695,1996MM08,104.5,33499.0
552,A048695,1996MM09,107.8,34681.0
553,A048695,1996MM10,114.6,35862.0
554,A048695,1996MM11,114.1,35361.0
555,A048695,1996MM12,105.2,33055.0
556,A048695,1996JJ00,1204.1,387747.0
557,A048695,1997MM01,116.7,36582.0
558,A048695,1997MM02,97.3,30621.0
559,A048695,1997MM03,96.5,30567.0
560,A048695,1997MM04,100.1,32222.0
561,A048695,1997MM05,95.0,30374.0
562,A048695,1997MM06,90.8,29111.0
563,A048695,1997MM07,81.6,26250.0
564,A048695,1997MM08,81.5,26047.0
565,A048695,1997MM09,95.4,30491.0
566,A048695,1997MM10,104.1,33530.0
567,A048695,1997MM11,96.8,31235.0
568,A048695,1997MM12,96.7,31306.0
569,A048695,1997JJ00,1152.5,368336.0
570,A048695,1998MM01,102.3,32818.0
571,A048695,1998MM02,86.1,27900.0
572,A048695,1998MM03,95.5,31168.0
573,A048695,1998MM04,84.4,27696.0
574,A048695,1998MM05,79.8,26479.0
575,A048695,1998MM06,82.2,26911.0
576,A048695,1998MM07,75.1,24354.0
577,A048695,1998MM08,73.2,23768.0
578,A048695,1998MM09,83.9,27040.0
579,A048695,1998MM10,92.6,29409.0
580,A048695,1998MM11,92.6,29445.0
581,A048695,1998MM12,91.5,29575.0
582,A048695,1998JJ00,1039.2,336563.0
583,A048695,1999MM01,85.3,27112.0
584,A048695,1999MM02,73.0,23641.0
585,A048695,1999MM03,89.3,28849.0
586,A048695,1999MM04,74.2,24006.0
587,A048695,1999MM05,70.0,22861.0
588,A048695,1999MM06,75.2,24193.0
589,A048695,1999MM07,64.1,20373.0
590,A048695,1999MM08,67.4,21169.0
591,A048695,1999MM09,77.7,24483.0
592,A048695,1999MM10,81.1,25510.0
593,A048695,1999MM11,89.7,27900.0
594,A048695,1999MM12,86.1,26798.0
595,A048695,1999JJ00,933.1,296895.0
596,A048695,2000MM01,86.5,26843.0
597,A048695,2000MM02,82.8,26231.0
598,A048695,2000MM03,81.3,25938.0
599,A048695,2000MM04,65.8,21500.0
600,A048695,2000MM05,75.4,24267.0
601,A048695,2000MM06,61.6,19509.0
602,A048695,2000MM07,60.9,19229.0
603,A048695,2000MM08,66.5,21039.0
604,A048695,2000MM09,70.8,22315.0
605,A048695,2000MM10,79.3,24664.0
606,A048695,2000MM11,69.1,21286.0
607,A048695,2000MM12,61.3,19287.0
608,A048695,2000JJ00,861.3,272108.0
609,A048695,2001MM01,63.6,21710.0
610,A048695,2001MM02,54.5,18479.0
611,A048695,2001MM03,30.9,10650.0
612,A048695,2001MM04,6.8,2331.0
613,A048695,2001MM05,35.2,12116.0
614,A048695,2001MM06,51.7,17698.0
615,A048695,2001MM07,48.5,16478.0
616,A048695,2001MM08,57.5,19097.0
617,A048695,2001MM09,65.6,21027.0
618,A048695,2001MM10,76.0,24176.0
619,A048695,2001MM11,80.4,25394.0
620,A048695,2001MM12,57.2,18185.0
621,A048695,2001JJ00,627.9,207341.0
622,A048695,2002MM01,71.8,22275.0
623,A048695,2002MM02,58.4,18261.0
624,A048695,2002MM03,56.9,18054.0
625,A048695,2002MM04,51.2,16381.0
626,A048695,2002MM05,54.3,17446.0
627,A048695,2002MM06,46.2,14674.0
628,A048695,2002MM07,42.8,13394.0
629,A048695,2002MM08,49.8,15387.0
630,A048695,2002MM09,55.8,17067.0
631,A048695,2002MM10,64.8,19794.0
