ID,RegioS,TypeVerwarmingsinstallatie,Perioden,Woningen_1
569,PV21  ,A050116,2022JJ00,0.7
570,PV21  ,A050117,2017JJ00,0.3
571,PV21  ,A050117,2018JJ00,0.4
572,PV21  ,A050117,2019JJ00,0.5
573,PV21  ,A050117,2020JJ00,0.6
574,PV21  ,A050117,2021JJ00,0.7
575,PV21  ,A050117,2022JJ00,0.9
576,PV21  ,A050118,2017JJ00,0.0
577,PV21  ,A050118,2018JJ00,0.0
578,PV21  ,A050118,2019JJ00,0.0
579,PV21  ,A050118,2020JJ00,0.1
580,PV21  ,A050118,2021JJ00,0.1
581,PV21  ,A050118,2022JJ00,0.1
582,PV21  ,A050119,2017JJ00,0.3
583,PV21  ,A050119,2018JJ00,0.7
584,PV21  ,A050119,2019JJ00,1.0
585,PV21  ,A050119,2020JJ00,1.7
586,PV21  ,A050119,2021JJ00,2.2
587,PV21  ,A050119,2022JJ00,2.9
588,PV21  ,A052175,2017JJ00,0.8
589,PV21  ,A052175,2018JJ00,1.3
590,PV21  ,A052175,2019JJ00,1.7
591,PV21  ,A052175,2020JJ00,2.4
592,PV21  ,A052175,2021JJ00,2.9
593,PV21  ,A052175,2022JJ00,3.7
594,PV21  ,A050120,2017JJ00,2.7
595,PV21  ,A050120,2018JJ00,2.7
596,PV21  ,A050120,2019JJ00,2.4
597,PV21  ,A050120,2020JJ00,1.9
598,PV21  ,A050120,2021JJ00,2.0
599,PV21  ,A050120,2022JJ00,2.3
600,PV22  ,A050112,2017JJ00,93.8
601,PV22  ,A050112,2018JJ00,93.3
602,PV22  ,A050112,2019JJ00,92.9
603,PV22  ,A050112,2020JJ00,92.5
604,PV22  ,A050112,2021JJ00,92.0
605,PV22  ,A050112,2022JJ00,90.8
606,PV22  ,A050113,2017JJ00,3.6
607,PV22  ,A050113,2018JJ00,3.6
608,PV22  ,A050113,2019JJ00,3.5
609,PV22  ,A050113,2020JJ00,3.8
610,PV22  ,A050113,2021JJ00,3.6
611,PV22  ,A050113,2022JJ00,3.5
