ID,Sectoren,COFOGOverheidsfuncties,Perioden,Overheidsconsumptie_1
3446,30,13400 ,2003JJ00,2.0
3447,30,13400 ,2004JJ00,1.0
3448,30,13400 ,2005JJ00,1.0
3449,30,13400 ,2006JJ00,3.0
3450,30,13400 ,2007JJ00,1.0
3451,30,13400 ,2008JJ00,1.0
3452,30,13400 ,2009JJ00,1.0
3453,30,13400 ,2010JJ00,0.0
3454,30,13400 ,2011JJ00,0.0
3455,30,13400 ,2012JJ00,1.0
3456,30,13500 ,1995JJ00,0.0
3457,30,13500 ,1996JJ00,0.0
3458,30,13500 ,1997JJ00,0.0
3459,30,13500 ,1998JJ00,0.0
3460,30,13500 ,1999JJ00,0.0
3461,30,13500 ,2000JJ00,0.0
3462,30,13500 ,2001JJ00,0.0
3463,30,13500 ,2002JJ00,0.0
3464,30,13500 ,2003JJ00,0.0
3465,30,13500 ,2004JJ00,0.0
3466,30,13500 ,2005JJ00,0.0
3467,30,13500 ,2006JJ00,0.0
3468,30,13500 ,2007JJ00,0.0
3469,30,13500 ,2008JJ00,0.0
3470,30,13500 ,2009JJ00,0.0
3471,30,13500 ,2010JJ00,0.0
3472,30,13500 ,2011JJ00,0.0
3473,30,13500 ,2012JJ00,0.0
3474,30,13600 ,1995JJ00,2125.0
3475,30,13600 ,1996JJ00,2174.0
3476,30,13600 ,1997JJ00,2185.0
3477,30,13600 ,1998JJ00,2341.0
3478,30,13600 ,1999JJ00,2371.0
3479,30,13600 ,2000JJ00,2597.0
3480,30,13600 ,2001JJ00,2816.0
3481,30,13600 ,2002JJ00,3047.0
3482,30,13600 ,2003JJ00,3385.0
3483,30,13600 ,2004JJ00,3375.0
3484,30,13600 ,2005JJ00,3357.0
3485,30,13600 ,2006JJ00,3859.0
3486,30,13600 ,2007JJ00,4067.0
3487,30,13600 ,2008JJ00,4243.0
3488,30,13600 ,2009JJ00,4571.0
3489,30,13600 ,2010JJ00,4770.0
3490,30,13600 ,2011JJ00,4632.0
3491,30,13600 ,2012JJ00,4518.0
3492,30,13700 ,1995JJ00,22.0
3493,30,13700 ,1996JJ00,15.0
3494,30,13700 ,1997JJ00,-66.0
3495,30,13700 ,1998JJ00,2.0
3496,30,13700 ,1999JJ00,-53.0
3497,30,13700 ,2000JJ00,-16.0
3498,30,13700 ,2001JJ00,81.0
3499,30,13700 ,2002JJ00,170.0
3500,30,13700 ,2003JJ00,228.0
3501,30,13700 ,2004JJ00,125.0
3502,30,13700 ,2005JJ00,67.0
3503,30,13700 ,2006JJ00,293.0
3504,30,13700 ,2007JJ00,274.0
3505,30,13700 ,2008JJ00,231.0
3506,30,13700 ,2009JJ00,273.0
3507,30,13700 ,2010JJ00,297.0
3508,30,13700 ,2011JJ00,169.0
3509,30,13700 ,2012JJ00,97.0
3510,30,13800 ,1995JJ00,1322.0
3511,30,13800 ,1996JJ00,1386.0
3512,30,13800 ,1997JJ00,1458.0
3513,30,13800 ,1998JJ00,1543.0
3514,30,13800 ,1999JJ00,1611.0
3515,30,13800 ,2000JJ00,1726.0
3516,30,13800 ,2001JJ00,1741.0
3517,30,13800 ,2002JJ00,1847.0
3518,30,13800 ,2003JJ00,2006.0
3519,30,13800 ,2004JJ00,2043.0
3520,30,13800 ,2005JJ00,2083.0
3521,30,13800 ,2006JJ00,2215.0
3522,30,13800 ,2007JJ00,2324.0
3523,30,13800 ,2008JJ00,2473.0
3524,30,13800 ,2009JJ00,2659.0
3525,30,13800 ,2010JJ00,2756.0
3526,30,13800 ,2011JJ00,2846.0
3527,30,13800 ,2012JJ00,2834.0
3528,30,13900 ,1995JJ00,686.0
3529,30,13900 ,1996JJ00,678.0
3530,30,13900 ,1997JJ00,696.0
3531,30,13900 ,1998JJ00,701.0
3532,30,13900 ,1999JJ00,718.0
3533,30,13900 ,2000JJ00,789.0
3534,30,13900 ,2001JJ00,890.0
3535,30,13900 ,2002JJ00,917.0
3536,30,13900 ,2003JJ00,1030.0
3537,30,13900 ,2004JJ00,1075.0
3538,30,13900 ,2005JJ00,1076.0
3539,30,13900 ,2006JJ00,1211.0
3540,30,13900 ,2007JJ00,1315.0
3541,30,13900 ,2008JJ00,1347.0
