ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
275,E007022,E006566,2003JJ00,11715.0,2547534.0,9171.0,2.6,2544.0,35857.0
276,E007022,E006566,2004JJ00,14670.0,3324906.0,11970.0,3.3,2700.0,43267.0
277,E007022,E006566,2005JJ00,22183.0,5276719.0,18996.0,5.2,3187.0,60852.0
278,E007022,E006566,2006JJ00,22050.0,5194000.0,18698.0,5.3,3351.0,60721.0
279,E007022,E006566,2007JJ00,18218.0,4026282.0,14495.0,3.8,3723.0,50070.0
280,E007022,E006566,2008JJ00,21909.0,5082893.0,18298.0,4.7,3611.0,64080.0
281,E007022,E006566,2009JJ00,26537.0,6111000.0,22000.0,5.4,4537.0,73240.0
282,E007022,E006566,2010JJ00,30599.0,7058056.0,25409.0,6.0,5190.0,81590.0
283,E007022,E006566,2011JJ00,31297.0,7083559.0,25501.0,6.3,5796.0,82140.0
284,E007022,E006566,2012JJ00,37593.0,7203605.0,25933.0,7.0,11660.0,88642.0
285,E007022,E006566,2013JJ00,32212.0,5954000.0,21434.0,5.9,10778.0,79500.0
286,E007022,E006566,2014JJ00,32428.0,5013182.0,18047.0,4.8,14381.0,72929.0
287,E007022,E006566,2015JJ00,34605.0,4935860.0,17769.0,4.5,16836.0,73077.0
288,E007022,E006566,2016JJ00,33724.0,4908861.0,17672.0,4.3,16052.0,74474.0
289,E007022,E006566,2017JJ00,35325.0,4604632.0,16577.0,3.9,18749.0,73655.0
290,E007022,E006566,2018JJ00,33976.0,4553191.0,16391.0,4.0,17585.0,72042.0
291,E007022,E006566,2019JJ00,41712.0,5821676.0,20958.0,4.8,20754.0,85261.0
292,E007022,E006566,2020JJ00,54610.0,8838681.0,31819.0,7.2,22790.0,112414.0
293,E007022,E006566,2021JJ00,65780.0,10917558.0,39303.0,8.9,26477.0,133298.0
294,E007022,E006566,2022JJ00,58386.0,9819725.0,35351.0,8.1,23035.0,122722.0
295,E007022,E006566,2023JJ00,47547.0,7640988.0,27508.0,6.3,20039.0,99613.0
296,E007022,E006566,2024JJ00,44199.0,6682275.0,24056.0,5.4,20143.0,89341.0
297,E007022,E006602,1998JJ00,13712.0,3809091.0,13712.0,4.1,,39327.0
298,E007022,E006602,1999JJ00,13781.0,3828213.0,13781.0,4.4,,39739.0
299,E007022,E006602,2000JJ00,14110.0,3919208.0,14110.0,4.3,,40500.0
300,E007022,E006602,2001JJ00,14301.0,3972571.0,14301.0,4.2,,40866.0
301,E007022,E006602,2002JJ00,14089.0,3913540.0,14089.0,4.1,,40317.0
302,E007022,E006602,2003JJ00,14465.0,4017989.0,14465.0,4.1,,41264.0
