ID,Periods,PriceIndices_1,ChangesComparedToOneYearEarlier_2,PriceIndices_3,ChangesComparedToOneYearEarlier_4,PriceIndices_5,ChangesComparedToOneYearEarlier_6
292,2012MM07,135.7,1.4,139.2,2.2,132.9,1.0
293,2012MM08,136.2,1.8,140.3,3.0,133.0,1.1
294,2012MM09,136.1,1.8,140.3,3.0,132.9,1.0
295,2012MM10,136.0,1.7,140.3,2.8,132.8,1.2
296,2012MM11,136.0,1.7,140.3,2.8,132.8,1.1
297,2012MM12,136.0,1.6,140.3,2.8,132.7,0.9
298,2012JJ00,135.7,1.8,139.3,2.5,132.9,1.4
299,2013MM01,136.0,0.8,141.1,2.7,132.3,-0.3
300,2013MM02,136.3,0.8,141.6,2.7,132.5,-0.3
301,2013MM03,136.2,0.7,141.6,2.7,132.4,-0.5
302,2013MM04,136.2,0.4,142.0,2.1,132.2,-0.6
303,2013MM05,136.1,0.3,142.0,2.1,132.1,-0.7
304,2013MM06,136.0,0.2,142.0,2.0,131.9,-0.8
305,2013MM07,135.9,0.1,142.0,2.0,131.7,-0.9
306,2013MM08,135.9,-0.2,142.0,1.2,131.8,-0.9
307,2013MM09,135.9,-0.2,142.0,1.2,131.7,-0.9
308,2013MM10,135.7,-0.3,142.0,1.2,131.4,-1.1
309,2013MM11,135.7,-0.2,142.0,1.2,131.4,-1.0
310,2013MM12,135.7,-0.2,142.0,1.2,131.4,-1.0
311,2013JJ00,136.0,0.2,141.9,1.9,131.9,-0.7
312,2014MM01,136.7,0.5,144.4,2.3,131.7,-0.5
313,2014MM02,136.6,0.2,144.4,1.9,131.5,-0.7
314,2014MM03,136.6,0.3,144.5,2.0,131.4,-0.8
315,2014MM04,136.8,0.5,144.5,1.8,131.8,-0.3
316,2014MM05,136.9,0.6,144.5,1.8,131.8,-0.2
317,2014MM06,136.9,0.7,144.5,1.8,131.9,0.0
318,2014MM07,137.1,0.9,144.5,1.8,132.1,0.3
319,2014MM08,137.2,1.0,144.5,1.8,132.4,0.5
320,2014MM09,137.3,1.0,144.5,1.8,132.4,0.5
321,2014MM10,138.0,1.7,145.5,2.5,133.0,1.2
322,2014MM11,138.0,1.7,145.5,2.5,133.1,1.3
323,2014MM12,138.0,1.7,145.5,2.5,133.1,1.3
324,2014JJ00,137.2,0.9,144.7,2.0,132.2,0.2
325,2015MM01,138.3,1.1,144.9,0.4,133.7,1.6
326,2015MM02,138.3,1.3,144.9,0.4,133.8,1.8
327,2015MM03,138.6,1.5,145.1,0.4,134.2,2.1
328,2015MM04,139.2,1.7,145.1,0.4,135.1,2.6
329,2015MM05,139.1,1.7,145.1,0.4,135.0,2.4
330,2015MM06,139.1,1.6,145.1,0.4,135.0,2.4
331,2015MM07,139.9,2.1,146.8,1.6,135.3,2.4
332,2015MM08,139.9,2.0,146.8,1.6,135.3,2.2
333,2015MM09,139.9,1.9,146.8,1.6,135.3,2.1
334,2015MM10,141.4,2.5,146.9,1.0,137.4,3.3
335,2015MM11,141.6,2.6,146.9,1.0,137.7,3.5
336,2015MM12,141.8,2.7,148.0,1.7,137.4,3.3
337,2015JJ00,139.8,1.9,146.0,0.9,135.4,2.5
338,2016MM01,142.1,2.8,147.3,1.7,138.3,3.4
339,2016MM02,142.1,2.7,147.3,1.7,138.3,3.4
340,2016MM03,142.3,2.7,147.3,1.6,138.6,3.3
341,2016MM04,141.6,1.7,147.3,1.6,137.6,1.8
342,2016MM05,141.7,1.9,147.3,1.6,137.8,2.0
343,2016MM06,141.9,2.0,147.3,1.6,138.0,2.2
344,2016MM07,142.9,2.1,149.4,1.7,138.5,2.4
345,2016MM08,143.0,2.2,149.4,1.7,138.7,2.5
346,2016MM09,142.9,2.1,149.5,1.8,138.4,2.3
347,2016MM10,143.4,1.4,149.5,1.7,139.1,1.2
348,2016MM11,143.7,1.5,149.5,1.7,139.6,1.3
349,2016MM12,143.8,1.4,149.5,1.0,139.8,1.7
350,2016JJ00,142.6,2.0,148.4,1.6,138.6,2.3
351,2017MM01,144.6,1.8,150.6,2.2,140.3,1.4
352,2017MM02,144.8,1.9,150.6,2.2,140.7,1.7
353,2017MM03,145.0,1.9,150.6,2.2,141.0,1.7
354,2017MM04,145.5,2.7,150.6,2.2,142.1,3.3
355,2017MM05,145.3,2.5,150.4,2.1,141.9,3.0
356,2017MM06,145.5,2.5,150.4,2.1,142.5,3.3
