ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
458,305800   ,A044112,2024JJ00,1.3
459,305800   ,A044114,1990JJ00,1.5
460,305800   ,A044114,1995JJ00,0.8
461,305800   ,A044114,2000JJ00,0.3
462,305800   ,A044114,2001JJ00,0.4
463,305800   ,A044114,2002JJ00,0.4
464,305800   ,A044114,2003JJ00,0.2
465,305800   ,A044114,2004JJ00,0.2
466,305800   ,A044114,2005JJ00,0.2
467,305800   ,A044114,2006JJ00,0.2
468,305800   ,A044114,2007JJ00,0.2
469,305800   ,A044114,2008JJ00,0.2
470,305800   ,A044114,2009JJ00,0.2
471,305800   ,A044114,2010JJ00,0.3
472,305800   ,A044114,2011JJ00,0.4
473,305800   ,A044114,2012JJ00,0.3
474,305800   ,A044114,2013JJ00,0.4
475,305800   ,A044114,2014JJ00,0.3
476,305800   ,A044114,2015JJ00,0.2
477,305800   ,A044114,2016JJ00,0.1
478,305800   ,A044114,2017JJ00,0.1
479,305800   ,A044114,2018JJ00,0.0
480,305800   ,A044114,2019JJ00,0.1
481,305800   ,A044114,2020JJ00,0.1
482,305800   ,A044114,2021JJ00,0.1
483,305800   ,A044114,2022JJ00,0.0
484,305800   ,A044114,2023JJ00,0.0
485,305800   ,A044114,2024JJ00,0.0
486,305800   ,A044118,1990JJ00,16.3
487,305800   ,A044118,1995JJ00,14.1
488,305800   ,A044118,2000JJ00,11.2
489,305800   ,A044118,2001JJ00,10.3
490,305800   ,A044118,2002JJ00,9.3
491,305800   ,A044118,2003JJ00,8.0
492,305800   ,A044118,2004JJ00,6.7
493,305800   ,A044118,2005JJ00,6.8
494,305800   ,A044118,2006JJ00,6.6
495,305800   ,A044118,2007JJ00,7.9
496,305800   ,A044118,2008JJ00,7.9
497,305800   ,A044118,2009JJ00,6.9
498,305800   ,A044118,2010JJ00,7.3
499,305800   ,A044118,2011JJ00,9.2
500,305800   ,A044118,2012JJ00,7.9
501,305800   ,A044118,2013JJ00,7.2
502,305800   ,A044118,2014JJ00,6.6
503,305800   ,A044118,2015JJ00,6.8
504,305800   ,A044118,2016JJ00,5.8
505,305800   ,A044118,2017JJ00,5.2
506,305800   ,A044118,2018JJ00,3.4
507,305800   ,A044118,2019JJ00,3.1
508,305800   ,A044118,2020JJ00,3.0
509,305800   ,A044118,2021JJ00,2.4
510,305800   ,A044118,2022JJ00,2.1
511,305800   ,A044118,2023JJ00,2.3
512,305800   ,A044118,2024JJ00,1.9
513,305800   ,A051771,1990JJ00,0.0
514,305800   ,A051771,1995JJ00,0.0
515,305800   ,A051771,2000JJ00,0.0
516,305800   ,A051771,2001JJ00,0.0
517,305800   ,A051771,2002JJ00,0.0
518,305800   ,A051771,2003JJ00,0.0
519,305800   ,A051771,2004JJ00,0.0
520,305800   ,A051771,2005JJ00,0.0
521,305800   ,A051771,2006JJ00,0.0
522,305800   ,A051771,2007JJ00,0.0
523,305800   ,A051771,2008JJ00,0.0
524,305800   ,A051771,2009JJ00,0.0
525,305800   ,A051771,2010JJ00,0.0
526,305800   ,A051771,2011JJ00,0.0
527,305800   ,A051771,2012JJ00,0.0
528,305800   ,A051771,2013JJ00,0.0
529,305800   ,A051771,2014JJ00,0.0
530,305800   ,A051771,2015JJ00,0.0
531,305800   ,A051771,2016JJ00,0.0
532,305800   ,A051771,2017JJ00,0.0
533,305800   ,A051771,2018JJ00,0.0
534,305800   ,A051771,2019JJ00,0.0
535,305800   ,A051771,2020JJ00,0.0
536,305800   ,A051771,2021JJ00,0.0
537,305800   ,A051771,2022JJ00,0.0
538,305800   ,A051771,2023JJ00,0.0
539,305800   ,A051771,2024JJ00,0.0
540,320300   ,A044111,1990JJ00,0.0
541,320300   ,A044111,1995JJ00,0.0
542,320300   ,A044111,2000JJ00,0.0
543,320300   ,A044111,2001JJ00,0.0
544,320300   ,A044111,2002JJ00,0.0
545,320300   ,A044111,2003JJ00,0.0
546,320300   ,A044111,2004JJ00,0.0
547,320300   ,A044111,2005JJ00,0.0
548,320300   ,A044111,2006JJ00,0.0
549,320300   ,A044111,2007JJ00,0.0
550,320300   ,A044111,2008JJ00,0.0
551,320300   ,A044111,2009JJ00,0.0
552,320300   ,A044111,2010JJ00,0.0
553,320300   ,A044111,2011JJ00,0.0
554,320300   ,A044111,2012JJ00,0.0
555,320300   ,A044111,2013JJ00,0.0
556,320300   ,A044111,2014JJ00,0.0
557,320300   ,A044111,2015JJ00,0.0
558,320300   ,A044111,2016JJ00,0.0
559,320300   ,A044111,2017JJ00,0.0
560,320300   ,A044111,2018JJ00,0.0
561,320300   ,A044111,2019JJ00,0.0
562,320300   ,A044111,2020JJ00,0.0
563,320300   ,A044111,2021JJ00,0.0
564,320300   ,A044111,2022JJ00,0.0
565,320300   ,A044111,2023JJ00,0.0
566,320300   ,A044111,2024JJ00,0.0
567,320300   ,A044112,1990JJ00,18.8
568,320300   ,A044112,1995JJ00,17.0
569,320300   ,A044112,2000JJ00,10.3
570,320300   ,A044112,2001JJ00,10.2
571,320300   ,A044112,2002JJ00,9.9
572,320300   ,A044112,2003JJ00,9.8
573,320300   ,A044112,2004JJ00,9.3
574,320300   ,A044112,2005JJ00,9.1
575,320300   ,A044112,2006JJ00,10.1
576,320300   ,A044112,2007JJ00,9.3
577,320300   ,A044112,2008JJ00,8.5
578,320300   ,A044112,2009JJ00,6.2
579,320300   ,A044112,2010JJ00,5.6
580,320300   ,A044112,2011JJ00,5.7
581,320300   ,A044112,2012JJ00,5.3
582,320300   ,A044112,2013JJ00,5.5
583,320300   ,A044112,2014JJ00,5.2
584,320300   ,A044112,2015JJ00,5.2
585,320300   ,A044112,2016JJ00,5.0
586,320300   ,A044112,2017JJ00,4.8
587,320300   ,A044112,2018JJ00,4.9
588,320300   ,A044112,2019JJ00,5.2
589,320300   ,A044112,2020JJ00,4.4
590,320300   ,A044112,2021JJ00,4.5
591,320300   ,A044112,2022JJ00,4.8
592,320300   ,A044112,2023JJ00,4.7
593,320300   ,A044112,2024JJ00,4.6
594,320300   ,A044114,1990JJ00,67.1
595,320300   ,A044114,1995JJ00,61.2
596,320300   ,A044114,2000JJ00,33.1
597,320300   ,A044114,2001JJ00,34.7
598,320300   ,A044114,2002JJ00,30.3
599,320300   ,A044114,2003JJ00,29.5
600,320300   ,A044114,2004JJ00,32.3
601,320300   ,A044114,2005JJ00,32.2
602,320300   ,A044114,2006JJ00,32.4
603,320300   ,A044114,2007JJ00,29.9
604,320300   ,A044114,2008JJ00,25.7
605,320300   ,A044114,2009JJ00,17.9
606,320300   ,A044114,2010JJ00,12.7
607,320300   ,A044114,2011JJ00,12.5
608,320300   ,A044114,2012JJ00,13.9
609,320300   ,A044114,2013JJ00,9.9
610,320300   ,A044114,2014JJ00,9.7
611,320300   ,A044114,2015JJ00,11.1
