ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
135,305700,A042501,2020KW04,-10.3,37.5,-11.4,19.9,-7.9,-12.7,29.9,-57.5,-47.9,-48.9,-40.7
136,305700,A042501,2021KW01,23.6,-13.8,32.0,8.2,-8.5,-9.2,32.4,-45.1,-23.9,-5.6,11.7
137,305700,A042501,2021KW02,17.3,0.7,29.4,-6.7,9.6,15.5,5.6,-27.0,-18.9,-3.6,26.1
138,305700,A042501,2021KW03,1.7,17.2,57.6,-2.4,31.1,24.0,19.2,-36.8,-10.8,27.6,-8.9
139,305700,A042501,2021KW04,2.2,46.9,39.5,55.8,19.5,21.0,47.2,-17.1,-7.1,28.5,29.1
140,305700,A042501,2022KW01,52.2,-18.3,55.7,-11.9,26.5,-10.8,21.9,-16.6,-9.8,25.7,38.7
141,305700,A042501,2022KW02,-21.3,-19.3,-5.4,42.6,5.2,11.0,40.5,-6.9,-5.6,-1.7,11.5
142,305700,A042501,2022KW03,-10.1,1.8,37.5,-11.3,10.2,5.9,26.7,-5.7,-15.4,-1.1,10.1
143,305700,A042501,2022KW04,-27.3,-15.6,-7.7,1.0,20.5,18.6,5.9,-18.5,9.8,-12.4,8.8
144,305700,A042501,2023KW01,-3.2,-13.9,-4.0,-16.7,13.4,2.5,9.3,-1.9,20.1,6.8,-5.1
145,305700,A042500,2016KW01,15.1,7.4,3.1,2.3,-8.9,-1.7,-9.8,-28.9,-32.7,-34.3,-30.5
146,305700,A042500,2016KW02,-32.3,-18.9,-6.7,-14.7,-10.5,-22.5,-3.0,-25.2,-12.9,-20.0,-15.3
147,305700,A042500,2016KW03,-8.0,-21.2,-15.7,-3.0,-11.9,-1.1,-11.5,-22.0,-22.1,-27.2,5.0
