ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
96,10,2006X000,14.0,405.0,96.0,14.0,106.0,2164.0,1847.0,3121.0,7718.0,95.0,454.0,95.0,654.0,13037.0,25039.0,314.0,68.0,68.0,,5.0,7.0,22.0,1032.0,1155.0,
97,10,2006MM01,14.0,425.0,94.0,13.0,121.0,2148.0,1830.0,3177.0,7797.0,93.0,453.0,101.0,-519.0,14214.0,26444.0,306.0,,,,,,,,,
98,10,2006MM02,13.0,423.0,91.0,13.0,79.0,2173.0,1857.0,3125.0,7804.0,89.0,449.0,101.0,590.0,14174.0,26452.0,317.0,,,,,,,,,
99,10,2006MM03,14.0,422.0,100.0,13.0,95.0,2192.0,1876.0,3087.0,7768.0,89.0,504.0,102.0,645.0,14135.0,26367.0,333.0,,,,,,,,,
100,10,2006MM04,14.0,420.0,102.0,13.0,92.0,2215.0,1898.0,3059.0,7775.0,105.0,463.0,102.0,591.0,14109.0,26366.0,344.0,,,,,,,,,
101,10,2006MM05,13.0,417.0,91.0,13.0,108.0,2210.0,1899.0,3013.0,7751.0,74.0,466.0,102.0,686.0,13991.0,26336.0,317.0,,,,,,,,,
102,10,2006MM06,13.0,421.0,84.0,13.0,90.0,2216.0,1904.0,2948.0,7473.0,87.0,438.0,101.0,615.0,13915.0,26068.0,327.0,,,,,,,,,
103,10,2006MM07,13.0,424.0,93.0,14.0,102.0,2221.0,1913.0,2913.0,7354.0,105.0,480.0,100.0,586.0,13910.0,26295.0,350.0,,,,,,,,,
104,10,2006MM08,13.0,416.0,85.0,13.0,106.0,2213.0,1913.0,2865.0,7349.0,93.0,494.0,101.0,591.0,13914.0,26343.0,364.0,,,,,,,,,
105,10,2006MM09,12.0,411.0,76.0,12.0,87.0,2214.0,1917.0,2777.0,7297.0,102.0,485.0,101.0,623.0,13876.0,26308.0,364.0,,,,,,,,,
106,10,2006MM10,14.0,407.0,96.0,15.0,102.0,2224.0,1915.0,2743.0,7278.0,81.0,503.0,102.0,604.0,13877.0,26326.0,359.0,,,,,,,,,
107,10,2006MM11,13.0,400.0,93.0,14.0,104.0,2227.0,1920.0,2699.0,7244.0,85.0,488.0,101.0,585.0,13881.0,26323.0,352.0,,,,,,,,,
108,10,2006MM12,10.0,394.0,67.0,12.0,94.0,2213.0,1915.0,2665.0,7182.0,95.0,444.0,99.0,572.0,13853.0,25998.0,323.0,,,,,,,,,
109,10,2007MM01,14.0,388.0,112.0,20.0,136.0,2208.0,1915.0,2680.0,7233.0,100.0,484.0,103.0,705.0,13734.0,26151.0,334.0,,,,,,,,,
