ID,KenmerkenGebruikers,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
120,113,2,2007JJ00,32.7,6.9,2.9,7.1,0.3,1.0,1.9,6.4,0.2,0.0,0.5,0.0,,0.0
121,113,2,2008JJ00,34.4,6.2,2.7,7.4,0.3,0.9,1.3,4.1,0.3,0.1,0.6,0.0,,0.0
122,113,2,2009JJ00,35.4,7.1,3.0,8.4,0.1,1.1,1.8,6.5,0.5,0.0,0.5,0.0,,0.0
123,113,3,2007JJ00,39.5,11.0,5.8,11.3,1.9,2.8,4.3,10.5,1.4,0.0,2.0,1.1,,0.0
124,113,3,2008JJ00,41.1,10.1,5.5,11.5,1.7,2.7,3.5,7.2,1.5,1.2,2.4,0.0,,0.0
125,113,3,2009JJ00,42.0,11.0,5.7,12.7,1.2,3.0,4.0,10.3,2.0,0.7,1.9,0.0,,0.0
126,114,1,2007JJ00,25.8,3.1,2.7,4.8,0.4,1.8,1.8,3.8,0.4,0.2,0.3,0.0,,0.1
127,114,1,2008JJ00,28.0,5.3,3.1,7.3,0.7,1.9,1.9,5.5,0.7,0.4,0.5,0.1,,0.0
128,114,1,2009JJ00,27.6,4.9,3.2,6.4,0.3,2.0,1.5,3.7,0.5,0.2,0.4,0.1,,0.1
129,114,2,2007JJ00,23.7,2.4,1.9,3.8,0.2,1.3,1.2,2.9,0.2,0.1,0.1,0.0,,0.0
130,114,2,2008JJ00,25.9,4.3,2.4,6.1,0.4,1.3,1.3,4.5,0.4,0.2,0.2,0.0,,0.0
131,114,2,2009JJ00,25.4,3.9,2.4,5.3,0.1,1.4,1.0,2.8,0.2,0.1,0.2,0.0,,0.0
132,114,3,2007JJ00,28.1,4.2,3.7,6.1,0.9,2.7,2.7,4.9,1.0,0.6,0.8,0.0,,0.5
133,114,3,2008JJ00,30.3,6.5,4.1,8.7,1.3,2.7,2.7,6.8,1.2,0.9,1.0,0.5,,0.0
134,114,3,2009JJ00,29.9,6.1,4.3,7.8,0.9,2.9,2.3,4.7,1.1,0.7,0.9,0.6,,0.6
135,115,1,2007JJ00,20.9,4.6,2.5,5.4,0.5,1.5,1.7,3.8,0.3,0.1,0.2,0.1,,0.0
136,115,1,2008JJ00,23.0,4.1,3.1,4.5,0.9,1.3,1.4,2.9,0.5,0.2,0.3,0.0,,0.0
137,115,1,2009JJ00,22.9,4.6,2.3,4.7,0.6,1.4,1.0,3.0,0.5,0.3,0.2,0.1,,0.0
138,115,2,2007JJ00,18.6,3.5,1.7,4.1,0.2,1.0,1.0,2.8,0.1,0.0,0.0,0.0,,0.0
139,115,2,2008JJ00,20.6,3.1,2.2,3.4,0.4,0.8,0.8,2.1,0.2,0.0,0.1,0.0,,0.0
140,115,2,2009JJ00,20.3,3.4,1.5,3.6,0.2,0.8,0.5,2.1,0.2,0.1,0.0,0.0,,0.0
141,115,3,2007JJ00,23.5,6.1,3.6,6.9,0.9,2.5,2.7,5.2,0.8,0.5,0.8,0.5,,0.0
142,115,3,2008JJ00,25.6,5.5,4.4,5.9,1.6,2.1,2.3,4.1,1.1,0.8,1.0,0.0,,0.0
143,115,3,2009JJ00,25.6,6.1,3.5,6.2,1.4,2.4,1.9,4.2,1.1,1.0,0.7,1.0,,0.0
144,116,1,2007JJ00,17.5,3.0,2.0,3.6,0.3,0.9,0.9,2.2,0.2,0.1,0.1,0.0,,0.0
145,116,1,2008JJ00,18.7,3.1,2.1,3.8,0.5,0.9,1.3,3.4,0.4,0.2,0.1,0.0,,0.0
146,116,1,2009JJ00,17.5,3.4,2.9,4.2,0.5,1.2,1.1,3.0,0.2,0.3,0.2,0.0,,0.0
147,116,2,2007JJ00,15.4,2.2,1.3,2.7,0.1,0.5,0.5,1.5,0.1,0.0,0.0,0.0,,0.0
148,116,2,2008JJ00,16.6,2.3,1.4,2.8,0.2,0.5,0.8,2.5,0.2,0.0,0.0,0.0,,0.0
149,116,2,2009JJ00,15.5,2.5,2.1,3.2,0.3,0.7,0.6,2.2,0.0,0.1,0.0,0.0,,0.0
150,116,3,2007JJ00,19.8,4.3,3.1,4.9,0.8,1.7,1.8,3.3,0.8,0.9,0.9,0.0,,0.0
151,116,3,2008JJ00,21.0,4.3,3.1,5.1,1.1,1.6,2.2,4.6,0.9,0.7,0.6,0.0,,0.0
152,116,3,2009JJ00,19.7,4.5,4.0,5.5,1.2,2.1,1.8,4.1,0.7,0.8,0.7,0.0,,0.0
153,117,1,2007JJ00,16.2,2.1,1.8,2.8,0.2,1.3,1.3,1.4,0.2,0.0,0.2,0.0,,0.0
154,117,1,2008JJ00,17.8,2.7,2.7,3.5,0.4,1.9,1.2,1.9,0.3,0.1,0.1,0.0,,0.0
155,117,1,2009JJ00,18.6,3.9,3.0,4.4,0.9,0.9,1.1,2.5,0.1,0.0,0.3,0.0,,0.2
156,117,2,2007JJ00,13.6,1.2,1.0,1.8,0.1,0.6,0.6,0.7,0.0,0.0,0.0,0.0,,0.0
157,117,2,2008JJ00,15.3,1.7,1.7,2.3,0.1,1.1,0.6,1.1,0.1,0.0,0.0,0.0,,0.0
158,117,2,2009JJ00,16.0,2.7,2.0,3.1,0.4,0.4,0.5,1.6,0.0,0.0,0.1,0.0,,0.0
159,117,3,2007JJ00,19.3,3.5,3.2,4.5,1.1,2.7,2.5,2.6,1.2,0.0,1.1,0.0,,0.0
160,117,3,2008JJ00,20.7,4.2,4.3,5.2,1.2,3.3,2.3,3.2,1.1,1.0,1.0,0.0,,0.0
161,117,3,2009JJ00,21.5,5.7,4.6,6.3,2.0,2.0,2.2,4.1,0.8,0.0,1.3,0.0,,1.1
