ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
241,T         ,DH        ,2007JJ00  ,9.0,65.0,0.0,0.0,0.068,1.0,0.0,24.0,0.0,14.0,6.0,347.0,0.0,4.4,8.8,0.0,264.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0
242,T         ,DH        ,2008JJ00  ,5.0,65.0,0.0,0.0,0.288,3.3,0.0,19.0,0.0,10.0,3.0,332.0,0.0,4.2,0.0,0.0,135.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,833.0
243,T         ,DI        ,1990JJ00  ,0.0,39.0,0.0,0.0,4.3,12.3,,1.0,0.0,31.0,9.0,247.0,327.2,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,6.0,0.0,391.0
244,T         ,DI        ,1995JJ00  ,0.0,28.0,0.0,4.6,0.11,25.2,,72.0,0.0,56.0,26.0,194.0,0.0,0.0,0.0,0.3,3.6,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,460.0,0.0,332.0
245,T         ,DI        ,2000JJ00  ,0.0,73.0,0.0,1.6,0.34,73.1,,73.0,0.035,51.0,34.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,486.0
246,T         ,DI        ,2003JJ00  ,2.0,82.0,0.0,1.0,0.937,33.4,0.0,54.0,0.1,18.0,8.0,284.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,2.0,0.0,899.0
247,T         ,DI        ,2004JJ00  ,1.0,66.0,0.0,5.8,1.869,21.7,0.0,57.0,0.047,54.0,15.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,1.0,0.0,575.0
248,T         ,DI        ,2005JJ00  ,2.0,70.0,0.0,1.1,0.546,37.9,0.0,94.0,0.019,54.0,17.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,1.0,0.0,661.0
249,T         ,DI        ,2006JJ00  ,3.0,71.0,0.0,4.3,0.798,108.1,0.0,94.0,0.037,63.0,21.0,471.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,2.0,0.0,1078.0
250,T         ,DI        ,2007JJ00  ,2.0,74.0,0.0,1.4,0.325,38.2,0.0,51.0,0.0,30.0,9.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,2.0,0.0,570.0
251,T         ,DI        ,2008JJ00  ,2.0,72.0,43.353,0.0,0.182,13.3,0.0,47.0,0.0,18.0,19.0,319.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,2.0,0.0,536.0
252,T         ,DJ        ,1990JJ00  ,235.0,1791.0,0.0,264.1,352.448,9391.6,,10610.0,46.298,7529.0,8914.0,73135.0,2318.9,0.0,0.0,1326.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35885.0,2621.0,21967.0,5703.0
253,T         ,DJ        ,1995JJ00  ,56.0,1808.0,12.986,877.5,158.826,11214.0,,4891.0,51.281,2124.0,14202.0,24986.0,121.6,8.2,0.0,82.6,376.8,35.9,1.0,0.0,2.901,0.0,0.0,0.0,0.0,5971.0,1032.0,29013.0,21688.0
254,T         ,DJ        ,2000JJ00  ,34.0,638.0,0.0,1007.9,119.245,4751.4,,4123.0,2.737,1882.0,5305.0,10610.0,2.9,5.0,0.0,36.8,248.4,14.9,0.0,0.0,5.9,0.0,0.0,0.0,0.0,1284.0,761.0,11161.0,5969.0
255,T         ,DJ        ,2003JJ00  ,28.0,724.0,1.346,353.5,50.698,2076.2,8.2,2435.0,6.172,993.0,4405.0,8882.0,0.2,2.4,0.0,6.1,42.2,7.4,0.2,0.0,25.827,0.0,0.0,0.0,0.0,254110.0,689.0,11344.0,4614.0
256,T         ,DJ        ,2004JJ00  ,33.0,609.0,2.164,296.4,46.872,2752.4,6.5,1839.0,4.97,1299.0,5019.0,10735.0,0.0,52.3,0.0,8.2,63.8,257.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.0,730.0,15763.0,4758.0
257,T         ,DJ        ,2005JJ00  ,38.0,601.0,1.717,231.4,26.916,2280.7,5.5,1743.0,4.829,622.0,4448.0,7085.0,0.0,0.0,0.0,4.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,744.0,14338.0,3808.0
258,T         ,DJ        ,2006JJ00  ,35.0,635.0,2.21,197.6,47.04,3427.2,3.6,1849.0,4.717,949.0,3873.0,8137.0,0.0,0.0,0.0,8.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,618.0,14967.0,3028.0
259,T         ,DJ        ,2007JJ00  ,21.0,851.0,0.281,142.4,53.53,2371.3,6.1,1666.0,2.824,888.0,4411.0,5967.0,0.0,0.0,0.0,3.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,652.0,11961.0,1553.0
260,T         ,DJ        ,2008JJ00  ,49.0,815.0,0.128,175.5,86.546,1781.9,0.1,682.0,4.428,1382.0,4091.0,7676.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,600.0,17856.0,1434.0
261,T         ,2900a     ,1990JJ00  ,27.0,309.0,65.219,0.0,23.851,620.0,,5135.0,7.341,1499.0,1993.0,5461.0,229.1,0.0,0.0,28.9,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.0,42.0,2.0,829.0
262,T         ,2900a     ,1995JJ00  ,48.0,580.0,3.149,0.6,4.547,1191.3,,6062.0,2.267,2841.0,3996.0,6895.0,3.4,0.0,0.0,15.6,8.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2331.0,21.0,0.0,2867.0
