ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
86,21750,2010JJ00,97.0,75.0,77.0,97.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0,2.0,89.0,60.0,32.0,8.0,2.0,3.0,2.0,92.0,62.0,34.0,96.0,74.0,73.0,37.0,27.0,99.0,76.0,75.0,38.0,28.0
87,21750,2011JJ00,97.0,81.0,77.0,97.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,,,,87.0,,,10.0,,,,89.0,,,97.0,79.0,75.0,56.0,34.0,99.0,81.0,77.0,58.0,35.0
88,21750,2012JJ00,98.0,82.0,79.0,98.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,,,,86.0,,,12.0,,,,88.0,,,97.0,79.0,77.0,61.0,37.0,99.0,81.0,78.0,62.0,38.0
89,21750,2013JJ00,97.0,69.0,82.0,98.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,91.0,,,8.0,,,,92.0,,,96.0,67.0,80.0,72.0,64.0,98.0,68.0,82.0,74.0,65.0
90,21760,2005JJ00,92.0,84.0,49.0,88.0,12.0,3.0,6.0,1.0,2.0,0.0,3.0,30.0,24.0,7.0,3.0,58.0,40.0,20.0,34.0,28.0,8.0,3.0,66.0,45.0,23.0,88.0,80.0,34.0,13.0,7.0,100.0,91.0,38.0,15.0,8.0
91,21760,2006JJ00,94.0,86.0,54.0,91.0,9.0,2.0,4.0,0.0,1.0,0.0,2.0,17.0,11.0,5.0,3.0,74.0,54.0,22.0,18.0,12.0,6.0,3.0,82.0,59.0,24.0,91.0,82.0,40.0,13.0,8.0,100.0,91.0,44.0,14.0,9.0
92,21760,2007JJ00,95.0,87.0,60.0,94.0,6.0,0.0,3.0,0.0,1.0,1.0,1.0,11.0,6.0,6.0,1.0,84.0,63.0,23.0,11.0,6.0,7.0,1.0,89.0,67.0,25.0,94.0,86.0,50.0,20.0,13.0,100.0,91.0,53.0,21.0,14.0
93,21760,2008JJ00,94.0,80.0,68.0,93.0,7.0,0.0,4.0,1.0,1.0,0.0,1.0,13.0,4.0,9.0,1.0,81.0,60.0,25.0,14.0,5.0,9.0,1.0,86.0,64.0,26.0,92.0,78.0,62.0,23.0,15.0,99.0,83.0,66.0,24.0,16.0
94,21760,2009JJ00,99.0,85.0,78.0,99.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,1.0,87.0,64.0,29.0,11.0,3.0,8.0,1.0,89.0,65.0,30.0,98.0,83.0,74.0,31.0,26.0,100.0,84.0,75.0,32.0,26.0
95,21760,2010JJ00,98.0,84.0,78.0,98.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,3.0,91.0,62.0,32.0,7.0,2.0,3.0,3.0,93.0,64.0,33.0,97.0,82.0,75.0,39.0,27.0,100.0,84.0,77.0,40.0,28.0
96,21760,2011JJ00,99.0,84.0,85.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,89.0,,,10.0,,,,89.0,,,99.0,82.0,82.0,53.0,32.0,100.0,83.0,83.0,54.0,33.0
97,21760,2012JJ00,99.0,80.0,84.0,98.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,,,,86.0,,,12.0,,,,88.0,,,98.0,77.0,82.0,65.0,42.0,100.0,78.0,84.0,66.0,42.0
