ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
535,00018,108,2015MM07,658.0,1281.0
536,00018,108,2015MM08,637.0,1283.0
537,00018,108,2015MM09,596.0,1095.0
538,00018,108,2015KW03,1890.0,3659.0
539,00018,108,2015MM10,616.0,1134.0
540,00018,108,2015MM11,549.0,984.0
541,00018,108,2015MM12,511.0,954.0
542,00018,108,2015KW04,1676.0,3072.0
543,00018,108,2015JJ00,6826.0,12899.0
544,00018,109,2012MM01,50.0,101.0
545,00018,109,2012MM02,52.0,112.0
546,00018,109,2012MM03,64.0,142.0
547,00018,109,2012KW01,166.0,356.0
548,00018,109,2012MM04,79.0,182.0
549,00018,109,2012MM05,78.0,170.0
550,00018,109,2012MM06,79.0,185.0
551,00018,109,2012KW02,236.0,536.0
552,00018,109,2012MM07,85.0,191.0
553,00018,109,2012MM08,89.0,192.0
554,00018,109,2012MM09,80.0,173.0
555,00018,109,2012KW03,253.0,556.0
556,00018,109,2012MM10,71.0,157.0
557,00018,109,2012MM11,65.0,128.0
558,00018,109,2012MM12,57.0,119.0
559,00018,109,2012KW04,192.0,404.0
560,00018,109,2012JJ00,848.0,1852.0
561,00018,109,2013MM01,50.0,109.0
562,00018,109,2013MM02,47.0,100.0
563,00018,109,2013MM03,61.0,135.0
564,00018,109,2013KW01,158.0,344.0
565,00018,109,2013MM04,66.0,153.0
566,00018,109,2013MM05,81.0,175.0
567,00018,109,2013MM06,67.0,153.0
568,00018,109,2013KW02,214.0,481.0
569,00018,109,2013MM07,82.0,185.0
570,00018,109,2013MM08,81.0,182.0
571,00018,109,2013MM09,70.0,157.0
572,00018,109,2013KW03,234.0,523.0
573,00018,109,2013MM10,70.0,156.0
574,00018,109,2013MM11,58.0,126.0
575,00018,109,2013MM12,53.0,112.0
576,00018,109,2013KW04,181.0,394.0
577,00018,109,2013JJ00,786.0,1742.0
578,00018,109,2014MM01,65.0,135.0
579,00018,109,2014MM02,69.0,156.0
580,00018,109,2014MM03,82.0,187.0
581,00018,109,2014KW01,217.0,479.0
582,00018,109,2014MM04,86.0,198.0
583,00018,109,2014MM05,92.0,204.0
584,00018,109,2014MM06,95.0,210.0
585,00018,109,2014KW02,273.0,612.0
586,00018,109,2014MM07,100.0,228.0
587,00018,109,2014MM08,109.0,241.0
588,00018,109,2014MM09,93.0,211.0
589,00018,109,2014KW03,302.0,680.0
590,00018,109,2014MM10,101.0,217.0
591,00018,109,2014MM11,85.0,174.0
592,00018,109,2014MM12,87.0,185.0
593,00018,109,2014KW04,274.0,577.0
594,00018,109,2014JJ00,1065.0,2348.0
595,00018,109,2015MM01,81.0,170.0
596,00018,109,2015MM02,79.0,164.0
597,00018,109,2015MM03,88.0,196.0
598,00018,109,2015KW01,249.0,531.0
599,00018,109,2015MM04,99.0,225.0
600,00018,109,2015MM05,102.0,226.0
601,00018,109,2015MM06,98.0,217.0
602,00018,109,2015KW02,298.0,668.0
603,00018,109,2015MM07,111.0,248.0
604,00018,109,2015MM08,97.0,234.0
605,00018,109,2015MM09,98.0,214.0
606,00018,109,2015KW03,305.0,696.0
607,00018,109,2015MM10,99.0,202.0
608,00018,109,2015MM11,95.0,180.0
609,00018,109,2015MM12,90.0,185.0
610,00018,109,2015KW04,285.0,566.0
611,00018,109,2015JJ00,1137.0,2461.0
612,00018,110,2012MM01,8.0,17.0
613,00018,110,2012MM02,8.0,16.0
614,00018,110,2012MM03,12.0,26.0
615,00018,110,2012KW01,28.0,59.0
616,00018,110,2012MM04,15.0,29.0
617,00018,110,2012MM05,13.0,31.0
618,00018,110,2012MM06,13.0,30.0
619,00018,110,2012KW02,42.0,89.0
620,00018,110,2012MM07,14.0,32.0
621,00018,110,2012MM08,16.0,33.0
622,00018,110,2012MM09,11.0,24.0
623,00018,110,2012KW03,42.0,90.0
624,00018,110,2012MM10,14.0,25.0
625,00018,110,2012MM11,12.0,20.0
626,00018,110,2012MM12,11.0,19.0
627,00018,110,2012KW04,37.0,64.0
628,00018,110,2012JJ00,148.0,302.0
629,00018,110,2013MM01,8.0,15.0
630,00018,110,2013MM02,10.0,21.0
631,00018,110,2013MM03,9.0,20.0
632,00018,110,2013KW01,27.0,56.0
