ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
254,TOT,TR16  ,2012JJ00,6967.2,1733.3,5233.9,12582.8,2881.8,9701.0
255,TOT,TR17  ,1998JJ00,2280.2,1039.6,1240.7,4111.7,2004.5,2107.2
256,TOT,TR17  ,1999JJ00,2375.7,1094.9,1280.9,4564.5,2182.5,2381.9
257,TOT,TR17  ,2000JJ00,2573.5,1289.5,1284.0,4883.5,2467.0,2416.5
258,TOT,TR17  ,2001JJ00,2481.5,1248.8,1232.7,4686.7,2455.9,2230.8
259,TOT,TR17  ,2002JJ00,2443.1,1128.3,1314.8,4652.3,2240.5,2411.8
260,TOT,TR17  ,2003JJ00,2206.8,1105.7,1101.1,4260.0,2189.6,2070.4
261,TOT,TR17  ,2004JJ00,2478.0,1253.4,1224.6,4849.4,2598.3,2251.1
262,TOT,TR17  ,2005JJ00,2549.4,1229.0,1320.4,4644.7,2320.9,2323.8
263,TOT,TR17  ,2006JJ00,2921.6,1544.8,1376.8,5385.6,2933.4,2452.3
264,TOT,TR17  ,2007JJ00,3200.7,1705.9,1494.8,6020.4,3393.7,2626.7
265,TOT,TR17  ,2008JJ00,3018.7,1667.4,1351.4,5714.1,3308.0,2406.1
266,TOT,TR17  ,2009JJ00,2956.3,1728.2,1228.1,5825.4,3517.9,2307.5
267,TOT,TR17  ,2010JJ00,3215.3,1816.3,1399.0,5748.6,3315.6,2433.0
268,TOT,TR17  ,2011JJ00,3345.4,1860.6,1484.8,5908.0,3296.2,2611.8
269,TOT,TR17  ,2012JJ00,3405.0,1878.1,1527.0,5836.7,3206.5,2630.2
270,HPJ,NL01  ,1998JJ00,14493.1,7061.5,7431.6,27617.7,12923.6,14694.1
271,HPJ,NL01  ,1999JJ00,15110.0,7560.4,7549.6,29052.9,13828.7,15224.2
272,HPJ,NL01  ,2000JJ00,15539.0,7800.5,7738.5,29722.3,14027.2,15695.1
273,HPJ,NL01  ,2001JJ00,15045.7,7600.6,7445.0,28563.2,13608.4,14954.8
274,HPJ,NL01  ,2002JJ00,14947.9,7515.1,7432.8,28514.6,13593.0,14921.6
275,HPJ,NL01  ,2003JJ00,14309.8,7379.3,6930.5,27182.2,13383.8,13798.3
276,HPJ,NL01  ,2004JJ00,15512.0,7911.0,7601.0,28377.0,13760.5,14616.5
277,HPJ,NL01  ,2005JJ00,16381.5,8300.8,8080.7,29518.5,14375.3,15143.2
278,HPJ,NL01  ,2006JJ00,18030.3,9463.1,8567.1,31759.3,15783.1,15976.1
279,HPJ,NL01  ,2007JJ00,19228.9,10515.7,8713.2,34158.5,17830.8,16327.7
280,HPJ,NL01  ,2008JJ00,18495.8,10461.1,8034.8,32618.6,17657.2,14961.4
281,HPJ,NL01  ,2009JJ00,17846.4,10092.2,7754.2,31481.0,17052.4,14428.6
282,HPJ,NL01  ,2010JJ00,19225.2,10498.6,8726.6,33707.5,17532.6,16174.9
283,HPJ,NL01  ,2011JJ00,19875.8,10849.1,9026.7,34575.7,17890.5,16685.1
284,HPJ,NL01  ,2012JJ00,20470.2,11113.3,9356.9,35417.7,18352.2,17065.5
285,HPJ,TR01  ,1998JJ00,342.5,276.7,65.8,964.6,729.5,235.0
286,HPJ,TR01  ,1999JJ00,391.3,336.6,54.7,1062.2,851.0,211.3
287,HPJ,TR01  ,2000JJ00,433.2,367.2,65.9,1178.0,954.7,223.3
288,HPJ,TR01  ,2001JJ00,403.9,331.0,72.9,1049.1,819.6,229.6
289,HPJ,TR01  ,2002JJ00,409.9,346.8,63.1,1137.3,930.2,207.1
