ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
144,T001038,80000  ,A042755,2020JJ00,0.5,41.0,8320.0,3978.0,30539.0,87638.0
145,T001038,80000  ,A042755,2021JJ00,0.5,27.0,5398.0,2580.0,18275.0,59048.0
146,T001038,80000  ,A042755,2022JJ00,,,,,,
147,T001038,80000  ,A042755,2023JJ00,,,,,,
148,T001038,80000  ,A042760,2020JJ00,4.7,6.0,105.0,74.0,205.0,309.0
149,T001038,80000  ,A042760,2021JJ00,5.2,8.0,114.0,75.0,209.0,316.0
150,T001038,80000  ,A042760,2022JJ00,5.4,6.0,113.0,78.0,215.0,296.0
151,T001038,80000  ,A042760,2023JJ00,6.2,8.0,118.0,86.0,223.0,324.0
152,T001038,70501  ,T001338,2020JJ00,97.1,1630.0,1673.0,251.0,7338.0,18758.0
153,T001038,70501  ,T001338,2021JJ00,97.1,1606.0,1658.0,283.0,7251.0,17771.0
154,T001038,70501  ,T001338,2022JJ00,96.7,1806.0,1874.0,310.0,7976.0,20157.0
155,T001038,70501  ,T001338,2023JJ00,96.7,1949.0,2037.0,352.0,8661.0,21721.0
156,T001038,70501  ,A042743,2020JJ00,96.6,152.0,159.0,122.0,363.0,623.0
157,T001038,70501  ,A042743,2021JJ00,96.7,166.0,171.0,132.0,383.0,642.0
158,T001038,70501  ,A042743,2022JJ00,96.3,171.0,177.0,137.0,391.0,643.0
159,T001038,70501  ,A042743,2023JJ00,96.3,189.0,196.0,151.0,438.0,727.0
160,T001038,70501  ,A042745,2020JJ00,53.1,14.0,26.0,12.0,60.0,364.0
161,T001038,70501  ,A042745,2021JJ00,54.2,14.0,25.0,12.0,65.0,365.0
162,T001038,70501  ,A042745,2022JJ00,59.4,15.0,25.0,16.0,59.0,278.0
163,T001038,70501  ,A042745,2023JJ00,88.2,21.0,24.0,15.0,59.0,219.0
164,T001038,70501  ,A042744,2020JJ00,44.7,659.0,1497.0,382.0,5770.0,15065.0
165,T001038,70501  ,A042744,2021JJ00,46.9,734.0,1578.0,407.0,6062.0,15788.0
166,T001038,70501  ,A042744,2022JJ00,48.0,751.0,1585.0,401.0,6204.0,15927.0
167,T001038,70501  ,A042744,2023JJ00,48.8,803.0,1676.0,424.0,6617.0,16860.0
168,T001038,70501  ,A042746,2020JJ00,54.5,130.0,250.0,52.0,641.0,2535.0
169,T001038,70501  ,A042746,2021JJ00,55.2,127.0,244.0,55.0,646.0,2538.0
170,T001038,70501  ,A042746,2022JJ00,56.1,145.0,277.0,57.0,670.0,2638.0
171,T001038,70501  ,A042746,2023JJ00,56.1,147.0,287.0,61.0,728.0,2792.0
172,T001038,70501  ,A042748,2020JJ00,0.7,5.0,791.0,503.0,2444.0,4784.0
173,T001038,70501  ,A042748,2021JJ00,0.7,6.0,854.0,546.0,2724.0,5069.0
174,T001038,70501  ,A042748,2022JJ00,0.7,6.0,847.0,553.0,2649.0,5028.0
175,T001038,70501  ,A042748,2023JJ00,0.7,6.0,924.0,593.0,2918.0,5411.0
176,T001038,70501  ,A042749,2020JJ00,6.6,146.0,2188.0,1955.0,4825.0,7102.0
177,T001038,70501  ,A042749,2021JJ00,6.7,153.0,2268.0,2050.0,5008.0,7380.0
178,T001038,70501  ,A042749,2022JJ00,6.4,143.0,2241.0,2034.0,5026.0,7451.0
