ID,Perioden,DelfstoffenwinningEnIndustrie_1,Delfstoffenwinning_2,IndustrieTotaal_3,VoedingsEnGenotmiddelenTotaal_4,VerwerkingVanVeehouderijproducten_5,VerwerkingVanOverigeProducten_6,Drankenindustrie_7,TabakverwerkendeIndustrie_8,Textielindustrie_9,Kledingindustrie_10,LederwarenEnSchoenenindustrie_11,Houtindustrie_12,PapierEnPapierwarenIndustrie_13,GrafischeIndustrieEnUitgeverijen_14,AardolieIndustrie_15,ChemischeIndustrie_16,RubberKunststofverwerkendeIndustrie_17,BouwmaterialenAardewerkGlasindustrie_18,TotaalMetaalindustrie_19,BasismetaalIndustrie_20,OverigeMetaalIndustrie_21,OpenbareNutsbedrijven_22,DelfstoffenwinningEnIndustrie_23,Delfstoffenwinning_24,IndustrieTotaal_25,VoedingsEnGenotmiddelenTotaal_26,VerwerkingVanVeehouderijproducten_27,VerwerkingVanOverigeProducten_28,Drankenindustrie_29,TabakverwerkendeIndustrie_30,Textielindustrie_31,Kledingindustrie_32,LederwarenEnSchoenenindustrie_33,Houtindustrie_34,PapierEnPapierwarenIndustrie_35,GrafischeIndustrieEnUitgeverijen_36,AardolieIndustrie_37,ChemischeIndustrie_38,RubberKunststofverwerkendeIndustrie_39,BouwmaterialenAardewerkGlasindustrie_40,MetaalindustrieTotaal_41,BasismetaalIndustrie_42,OverigeMetaalIndustrie_43,OpenbareNutsbedrijven_44
69,1983JJ00,69.0,93.0,65.0,68.0,105.0,63.0,53.0,50.0,83.0,133.0,186.0,77.0,61.0,65.0,104.0,55.0,50.0,64.0,64.0,74.0,62.0,80.0,3.0,8.1,1.9,0.0,7.1,-3.3,-3.0,-0.2,-2.4,-3.5,-1.2,-2.1,-1.4,-2.5,30.0,15.9,10.1,2.0,-0.8,-1.7,-0.7,0.8
70,1984JJ00,72.0,95.0,68.0,70.0,115.0,63.0,53.0,52.0,90.0,137.0,175.0,74.0,66.0,67.0,107.0,60.0,53.0,70.0,68.0,83.0,66.0,81.0,4.7,2.4,5.8,3.4,9.7,0.2,0.0,3.9,8.8,3.5,-5.9,-2.9,7.1,3.3,3.0,9.1,6.7,8.0,6.8,13.0,6.1,1.3
71,1985JJ00,75.0,103.0,70.0,69.0,107.0,62.0,54.0,57.0,93.0,136.0,187.0,76.0,68.0,69.0,98.0,65.0,57.0,72.0,70.0,85.0,69.0,84.0,3.9,8.6,2.8,-2.3,-7.2,-1.4,2.3,9.7,2.4,-0.8,7.1,1.5,3.9,2.1,-7.8,7.8,6.3,3.0,3.8,1.7,4.1,2.5
72,1986JJ00,75.0,96.0,72.0,73.0,106.0,67.0,59.0,63.0,88.0,135.0,177.0,77.0,70.0,70.0,122.0,65.0,59.0,76.0,71.0,83.0,69.0,87.0,-0.4,-7.2,2.5,5.7,-0.4,7.7,7.5,9.8,-4.8,-1.1,-5.6,2.1,2.9,1.8,23.7,-0.5,5.0,5.4,0.5,-2.5,0.9,4.3
73,1987JJ00,76.0,99.0,73.0,74.0,120.0,66.0,57.0,67.0,88.0,121.0,162.0,81.0,72.0,72.0,121.0,66.0,61.0,76.0,71.0,76.0,71.0,88.0,1.9,3.6,1.4,2.2,12.6,-1.8,-2.0,6.3,0.4,-9.8,-8.3,5.5,2.5,3.8,-0.9,1.9,2.6,0.3,0.6,-7.8,1.7,1.4
74,1988JJ00,77.0,87.0,76.0,75.0,105.0,71.0,54.0,61.0,90.0,143.0,153.0,89.0,78.0,76.0,134.0,70.0,67.0,81.0,72.0,83.0,71.0,91.0,1.3,-12.0,3.7,0.5,-12.0,8.9,-6.3,-8.1,2.1,17.5,-5.4,8.9,8.0,5.2,11.5,7.1,9.2,7.3,1.6,9.2,0.6,2.7
75,1989JJ00,80.0,90.0,79.0,78.0,106.0,75.0,58.0,72.0,93.0,156.0,133.0,90.0,82.0,79.0,127.0,73.0,74.0,84.0,77.0,88.0,75.0,91.0,4.1,3.4,4.6,4.7,1.1,4.4,7.0,17.1,2.8,9.4,-13.1,1.9,5.2,4.0,-5.2,3.6,10.7,2.7,5.8,5.5,5.8,0.1
76,1990JJ00,81.0,98.0,79.0,81.0,99.0,78.0,66.0,84.0,97.0,176.0,169.0,87.0,82.0,84.0,117.0,73.0,80.0,91.0,74.0,81.0,73.0,94.0,0.7,8.0,-0.3,3.9,-6.5,4.0,15.1,17.6,4.9,12.6,26.8,-4.0,0.3,6.5,-8.5,0.2,8.3,8.9,-4.0,-7.6,-3.2,3.7
77,1991JJ00,82.0,106.0,79.0,85.0,99.0,79.0,83.0,89.0,93.0,168.0,162.0,84.0,81.0,86.0,116.0,71.0,81.0,88.0,74.0,82.0,73.0,97.0,1.6,9.0,0.4,4.7,-0.5,2.4,25.2,6.2,-4.3,-4.3,-4.3,-3.0,-1.1,1.9,-0.5,-3.1,1.6,-3.0,0.9,0.9,0.9,3.4
78,1992JJ00,82.0,108.0,79.0,87.0,97.0,84.0,83.0,86.0,85.0,154.0,149.0,81.0,82.0,84.0,118.0,71.0,81.0,85.0,74.0,79.0,73.0,98.0,-0.3,1.4,-0.6,2.0,-2.2,5.7,0.1,-3.4,-8.4,-8.4,-8.1,-3.3,0.8,-1.8,2.1,0.6,-0.5,-3.3,-1.0,-3.3,-0.7,1.0
79,1993JJ00,81.0,110.0,77.0,87.0,98.0,84.0,92.0,81.0,84.0,151.0,146.0,81.0,79.0,84.0,113.0,72.0,79.0,85.0,70.0,79.0,69.0,99.0,-1.3,1.8,-1.8,0.8,1.2,-0.4,10.3,-6.3,-2.1,-2.0,-1.8,-0.7,-2.8,-0.3,-4.5,1.0,-2.3,-0.7,-4.4,-0.3,-4.7,0.4
80,1994JJ00,85.0,109.0,82.0,92.0,97.0,89.0,103.0,89.0,83.0,148.0,131.0,86.0,85.0,87.0,126.0,80.0,84.0,90.0,74.0,88.0,73.0,101.0,5.1,-1.1,6.1,6.0,-0.9,6.5,12.6,10.5,-0.8,-1.9,-10.4,6.6,6.9,3.1,11.8,10.7,7.0,6.7,5.7,12.0,5.1,1.9
81,1995JJ00,88.0,109.0,85.0,96.0,99.0,91.0,108.0,98.0,82.0,127.0,117.0,90.0,86.0,88.0,135.0,85.0,85.0,90.0,77.0,89.0,76.0,103.0,3.1,0.7,3.5,3.5,2.3,2.4,4.5,9.6,-1.0,-14.1,-10.7,4.1,1.2,2.0,6.9,6.1,0.6,-0.2,4.1,1.1,4.5,2.3
82,1996JJ00,90.0,117.0,86.0,97.0,102.0,93.0,107.0,93.0,83.0,113.0,103.0,88.0,84.0,88.0,134.0,87.0,84.0,93.0,79.0,89.0,78.0,108.0,2.2,7.0,1.4,0.9,3.0,1.7,-0.7,-5.0,0.9,-11.5,-11.7,-1.9,-2.5,-0.1,-1.0,2.6,-1.1,2.8,2.1,-0.3,2.5,4.7
83,1997JJ00,90.0,109.0,87.0,96.0,99.0,93.0,102.0,94.0,85.0,107.0,111.0,92.0,93.0,91.0,83.0,88.0,90.0,89.0,81.0,96.0,80.0,99.0,0.2,-6.6,1.4,-1.0,-3.3,0.3,-4.8,1.3,2.1,-5.2,7.7,4.9,10.4,2.7,-38.3,1.4,7.2,-3.6,2.9,8.0,2.4,-7.6
84,1998JJ00,92.0,103.0,90.0,96.0,101.0,93.0,94.0,97.0,93.0,100.0,109.0,101.0,91.0,96.0,90.0,89.0,95.0,91.0,85.0,98.0,84.0,98.0,2.1,-5.7,3.4,0.0,2.4,0.5,-7.5,2.7,10.0,-6.0,-1.5,9.8,-1.6,6.0,8.5,1.1,5.6,1.8,5.0,1.7,5.3,-1.0
85,1999JJ00,95.0,105.0,94.0,98.0,100.0,97.0,97.0,95.0,97.0,89.0,103.0,101.0,97.0,99.0,86.0,96.0,98.0,96.0,87.0,95.0,87.0,97.0,3.4,1.7,3.7,2.2,-0.9,4.2,3.2,-1.7,4.1,-11.2,-5.8,-0.7,6.1,3.1,-4.1,8.1,3.4,4.9,2.4,-2.8,2.9,-1.8
