ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
359,306300,1976JJ00,,,,
360,306300,1977JJ00,,,,
361,306300,1978JJ00,,,,
362,306300,1979JJ00,,,,
363,306300,1980JJ00,,,,
364,306300,1981JJ00,,,,
365,306300,1982JJ00,,,,
366,306300,1983JJ00,,,,
367,306300,1984JJ00,,,,
368,306300,1985JJ00,,,,
369,306300,1986JJ00,,,,
370,306300,1987JJ00,,,,
371,306300,1988JJ00,73.0,76.0,,96.1
372,306300,1989JJ00,78.0,80.0,5.5,97.4
373,306300,1990JJ00,50.0,50.0,-37.2,99.3
374,306300,1991JJ00,38.0,37.0,-26.0,102.0
375,306300,1992JJ00,58.0,56.0,50.0,103.8
376,306300,1993JJ00,48.0,47.0,-15.5,101.7
377,306300,1994JJ00,22.0,22.0,-54.2,101.7
378,306300,1995JJ00,22.0,22.0,0.0,101.7
379,306300,1996JJ00,43.0,43.0,100.0,99.4
380,306300,1997JJ00,42.0,41.0,-4.7,101.8
381,306300,1998JJ00,37.0,36.0,-11.9,101.8
382,306300,1999JJ00,46.0,46.0,27.0,99.6
383,306300,2000JJ00,43.0,43.0,-6.5,99.6
384,306300,2001JJ00,49.0,48.0,11.6,101.7
385,306300,2002JJ00,38.0,37.0,-22.4,101.7
386,306300,2003JJ00,60.0,59.0,57.9,101.7
387,306300,2004JJ00,47.0,46.0,-21.7,101.7
388,306300,2005JJ00,58.0,58.0,25.5,100.0
389,306300,2006JJ00,47.0,47.0,-19.0,100.0
390,306300,2007JJ00,47.0,46.0,-2.1,102.2
391,306300,2008JJ00,69.0,67.0,44.7,103.7
392,306300,2009JJ00,23.0,21.0,-68.1,108.4
393,306300,2010JJ00,18.0,17.0,-21.7,108.4
394,306300,2011JJ00,35.0,32.0,94.4,108.4
395,306300,2012JJ00,,,,
396,307000,1969JJ00,,,,
397,307000,1970JJ00,,,,
398,307000,1971JJ00,,,,
399,307000,1972JJ00,,,,
400,307000,1973JJ00,,,,
401,307000,1974JJ00,,,,
402,307000,1975JJ00,,,,
403,307000,1976JJ00,,,,
404,307000,1977JJ00,,,,
405,307000,1978JJ00,,,,
406,307000,1979JJ00,,,,
407,307000,1980JJ00,,,,
408,307000,1981JJ00,,,,
409,307000,1982JJ00,,,,
410,307000,1983JJ00,,,,
411,307000,1984JJ00,,,,
412,307000,1985JJ00,,,,
413,307000,1986JJ00,,,,
414,307000,1987JJ00,,,,
415,307000,1988JJ00,,,,
416,307000,1989JJ00,,,,
417,307000,1990JJ00,,,,
418,307000,1991JJ00,,,,
419,307000,1992JJ00,,,,
420,307000,1993JJ00,,,,
421,307000,1994JJ00,,,,
422,307000,1995JJ00,,,,
423,307000,1996JJ00,,,,
424,307000,1997JJ00,,,,
425,307000,1998JJ00,,,,
426,307000,1999JJ00,,,,
427,307000,2000JJ00,,,,
428,307000,2001JJ00,,,,
429,307000,2002JJ00,,,,
430,307000,2003JJ00,,,,
431,307000,2004JJ00,,,,
432,307000,2005JJ00,,,,
433,307000,2006JJ00,,,,
434,307000,2007JJ00,,,,
435,307000,2008JJ00,,,,
436,307000,2009JJ00,,,,
437,307000,2010JJ00,,,,
438,307000,2011JJ00,,,,
439,307000,2012JJ00,,,,
440,307500,1969JJ00,2140.0,4613.0,,46.4
441,307500,1970JJ00,2859.0,5692.0,23.4,50.2
442,307500,1971JJ00,2993.0,5509.0,-3.2,54.3
443,307500,1972JJ00,2612.0,4635.0,-15.9,56.4
444,307500,1973JJ00,2626.0,4511.0,-2.7,58.2
445,307500,1974JJ00,2791.0,4341.0,-3.8,64.3
446,307500,1975JJ00,2917.0,4087.0,-5.8,71.4
447,307500,1976JJ00,2959.0,3887.0,-4.9,76.1
448,307500,1977JJ00,3555.0,4546.0,17.0,78.2
449,307500,1978JJ00,3676.0,4528.0,-0.4,81.2
450,307500,1979JJ00,3788.0,4477.0,-1.1,84.6
451,307500,1980JJ00,4576.0,5169.0,15.5,88.5
452,307500,1981JJ00,4108.0,4326.0,-16.3,95.0
453,307500,1982JJ00,3987.0,4042.0,-6.6,98.6
454,307500,1983JJ00,4256.0,4249.0,5.1,100.2
455,307500,1984JJ00,5727.0,5723.0,34.7,100.1
456,307500,1985JJ00,6899.0,6910.0,20.7,99.8
457,307500,1986JJ00,7431.0,7542.0,9.1,98.5
458,307500,1987JJ00,7571.0,7663.0,1.6,98.8
459,307500,1988JJ00,7178.0,7252.0,-5.4,99.0
460,307500,1989JJ00,7430.0,7446.0,2.7,99.8
461,307500,1990JJ00,8003.0,7967.0,7.0,100.5
462,307500,1991JJ00,7594.0,7494.0,-5.9,101.3
463,307500,1992JJ00,7276.0,7161.0,-4.4,101.6
464,307500,1993JJ00,6634.0,6505.0,-9.2,102.0
465,307500,1994JJ00,6162.0,6068.0,-6.7,101.5
466,307500,1995JJ00,7448.0,7351.0,21.1,101.3
467,307500,1996JJ00,7795.0,7814.0,6.3,99.8
468,307500,1997JJ00,9013.0,9100.0,16.4,99.0
469,307500,1998JJ00,9022.0,9188.0,1.0,98.2
470,307500,1999JJ00,8804.0,8996.0,-2.1,97.9
471,307500,2000JJ00,8850.0,8943.0,-0.6,99.0
472,307500,2001JJ00,8146.0,8174.0,-8.6,99.7
473,307500,2002JJ00,8399.0,8395.0,2.7,100.1
474,307500,2003JJ00,7899.0,7970.0,-5.1,99.1
475,307500,2004JJ00,7103.0,7143.0,-10.4,99.4
476,307500,2005JJ00,7594.0,7594.0,6.3,100.0
477,307500,2006JJ00,8065.0,8001.0,5.4,100.8
478,307500,2007JJ00,8861.0,8645.0,8.0,102.5
479,307500,2008JJ00,9447.0,9020.0,4.3,104.7
480,307500,2009JJ00,8551.0,8085.0,-10.4,105.8
481,307500,2010JJ00,7298.0,6818.0,-15.7,107.0
482,307500,2011JJ00,8117.0,7587.0,11.3,107.0
483,307500,2012JJ00,7644.0,7116.0,-6.2,107.4
484,307610,1969JJ00,336.0,814.0,,41.3
485,307610,1970JJ00,406.0,913.0,12.2,44.5
486,307610,1971JJ00,441.0,915.0,0.2,48.2
487,307610,1972JJ00,392.0,787.0,-14.1,49.8
488,307610,1973JJ00,487.0,945.0,20.2,51.5
489,307610,1974JJ00,569.0,1000.0,5.7,56.9
490,307610,1975JJ00,680.0,1073.0,7.4,63.4
491,307610,1976JJ00,577.0,851.0,-20.7,67.8
492,307610,1977JJ00,717.0,1034.0,21.5,69.4
493,307610,1978JJ00,803.0,1116.0,7.9,72.0
494,307610,1979JJ00,900.0,1199.0,7.5,75.1
495,307610,1980JJ00,1055.0,1340.0,11.8,78.7
496,307610,1981JJ00,893.0,1055.0,-21.3,84.7
497,307610,1982JJ00,893.0,1012.0,-4.0,88.2
498,307610,1983JJ00,1024.0,1144.0,13.0,89.5
499,307610,1984JJ00,1059.0,1179.0,3.1,89.8
500,307610,1985JJ00,1222.0,1356.0,15.0,90.1
501,307610,1986JJ00,1346.0,1509.0,11.3,89.2
502,307610,1987JJ00,1336.0,1494.0,-1.0,89.4
503,307610,1988JJ00,1255.0,1391.0,-6.9,90.2
504,307610,1989JJ00,1225.0,1338.0,-3.8,91.6
505,307610,1990JJ00,1315.0,1415.0,5.8,92.9
506,307610,1991JJ00,1452.0,1540.0,8.8,94.3
507,307610,1992JJ00,1580.0,1656.0,7.5,95.4
