ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
4218, 85,2016JJ00,61828,23125,38703
4219, 85,2017JJ00,61993,23593,38401
4220, 85,2018JJ00,63893,24565,39328
4221, 85,2019JJ00,63100,24645,38455
4222, 85,2020JJ00,65157,25771,39386
4223, 85,2021JJ00,66388,26654,39735
4224, 85,2022JJ00,68608,27890,40718
4225, 85,2023JJ00,69531,28480,41051
4226, 85,2024JJ00,74426,30880,43545
4227, 85,2025JJ00,76699,31936,44763
4228, 85,2026JJ00,79957,33688,46269
4229, 85,2027JJ00,78430,33410,45020
4230, 85,2028JJ00,82668,35441,47227
4231, 85,2029JJ00,89743,38665,51078
4232, 85,2030JJ00,94985,40930,54055
4233, 85,2031JJ00,91107,39418,51689
4234, 85,2032JJ00,127304,55535,71769
4235, 85,2033JJ00,123618,53752,69866
4236, 85,2034JJ00,117483,51485,65998
4237, 85,2035JJ00,114271,50075,64196
4238, 85,2036JJ00,112766,49402,63364
4239, 85,2037JJ00,112530,49409,63121
4240, 85,2038JJ00,116545,51194,65351
4241, 85,2039JJ00,116427,51090,65338
4242, 85,2040JJ00,118203,51985,66218
4243, 85,2041JJ00,120078,52534,67544
4244, 85,2042JJ00,123017,54184,68833
4245, 85,2043JJ00,125417,55174,70243
4246, 85,2044JJ00,128088,56457,71632
4247, 85,2045JJ00,131774,58084,73690
4248, 85,2046JJ00,132775,58666,74109
4249, 85,2047JJ00,137031,60488,76543
4250, 85,2048JJ00,138358,61170,77188
4251, 85,2049JJ00,141114,62738,78376
4252, 85,2050JJ00,143537,63827,79710
4253, 85,2051JJ00,141447,63043,78404
4254, 85,2052JJ00,139786,62220,77565
4255, 85,2053JJ00,139575,62168,77407
4256, 85,2054JJ00,141090,62689,78401
4257, 85,2055JJ00,147755,65786,81969
4258, 85,2056JJ00,144830,64358,80472
4259, 85,2057JJ00,139599,62073,77525
4260, 85,2058JJ00,133813,59127,74685
4261, 85,2059JJ00,124499,55163,69335
4262, 85,2060JJ00,120686,53622,67064
4263, 86,2012JJ00,48537,16194,32344
4264, 86,2013JJ00,49609,16982,32627
4265, 86,2014JJ00,49996,17553,32443
4266, 86,2015JJ00,52503,18549,33955
4267, 86,2016JJ00,53406,19236,34170
4268, 86,2017JJ00,56451,20683,35768
4269, 86,2018JJ00,56663,21137,35526
4270, 86,2019JJ00,58465,22045,36420
4271, 86,2020JJ00,57793,22150,35643
4272, 86,2021JJ00,59733,23196,36538
4273, 86,2022JJ00,60912,24022,36890
4274, 86,2023JJ00,62998,25167,37831
4275, 86,2024JJ00,63896,25730,38166
4276, 86,2025JJ00,68441,27929,40512
4277, 86,2026JJ00,70586,28915,41671
4278, 86,2027JJ00,73630,30532,43098
4279, 86,2028JJ00,72268,30311,41957
4280, 86,2029JJ00,76222,32183,44039
