ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
412,A019276,A044283,2019JJ00,55288.0,39922.0,15258.0,0.0,108.0
413,A019276,A044283,2020JJ00,54065.0,39171.0,14786.0,0.0,108.0
414,A019276,A044283,2021JJ00,52880.0,38585.0,14191.0,0.0,104.0
415,A019276,A044283,2022JJ00,51564.0,37561.0,13899.0,0.0,104.0
416,A019276,A044282,2007JJ00,,,,,
417,A019276,A044282,2008JJ00,,,,,
418,A019276,A044282,2009JJ00,,,,,
419,A019276,A044282,2010JJ00,,,,,
420,A019276,A044282,2011JJ00,,,,,
421,A019276,A044282,2012JJ00,,,,,
422,A019276,A044282,2013JJ00,,,,,
423,A019276,A044282,2014JJ00,,,,,
424,A019276,A044282,2015JJ00,56663.0,41045.0,15501.0,0.0,117.0
425,A019276,A044282,2016JJ00,55139.0,39954.0,15063.0,0.0,122.0
