ID,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
483,3000   ,53850  ,2013JJ00,79.0,3.9
484,3000   ,53850  ,2014JJ00,80.3,4.5
485,3000   ,53850  ,2015JJ00,78.8,4.5
486,3000   ,53850  ,2016JJ00,78.4,4.5
487,3000   ,53850  ,2017JJ00,77.6,4.4
488,3000   ,53925  ,2010JJ00,75.6,2.8
489,3000   ,53925  ,2011JJ00,72.3,3.3
490,3000   ,53925  ,2012JJ00,73.0,3.0
491,3000   ,53925  ,2013JJ00,72.0,3.0
492,3000   ,53925  ,2014JJ00,73.6,2.7
493,3000   ,53925  ,2015JJ00,71.9,2.7
494,3000   ,53925  ,2016JJ00,73.3,2.7
495,3000   ,53925  ,2017JJ00,72.5,2.6
496,3000   ,21600  ,2010JJ00,60.2,1.6
497,3000   ,21600  ,2011JJ00,61.6,2.7
498,3000   ,21600  ,2012JJ00,63.7,2.5
499,3000   ,21600  ,2013JJ00,61.0,3.4
500,3000   ,21600  ,2014JJ00,66.8,2.0
501,3000   ,21600  ,2015JJ00,63.2,2.4
502,3000   ,21600  ,2016JJ00,60.0,2.4
503,3000   ,21600  ,2017JJ00,63.7,2.8
504,3000   ,2030500,2010JJ00,78.9,9.9
505,3000   ,2030500,2011JJ00,80.3,10.5
506,3000   ,2030500,2012JJ00,80.7,10.9
507,3000   ,2030500,2013JJ00,79.3,10.2
508,3000   ,2030500,2014JJ00,80.8,10.0
509,3000   ,2030500,2015JJ00,79.3,9.7
510,3000   ,2030500,2016JJ00,79.2,10.0
511,3000   ,2030500,2017JJ00,78.6,10.9
512,3000   ,2030510,2010JJ00,79.1,9.2
513,3000   ,2030510,2011JJ00,79.4,10.8
514,3000   ,2030510,2012JJ00,77.8,9.8
515,3000   ,2030510,2013JJ00,77.6,10.9
516,3000   ,2030510,2014JJ00,79.4,10.3
517,3000   ,2030510,2015JJ00,78.0,11.7
518,3000   ,2030510,2016JJ00,77.9,9.8
519,3000   ,2030510,2017JJ00,78.0,11.3
520,3000   ,2030520,2010JJ00,81.3,3.1
521,3000   ,2030520,2011JJ00,80.3,3.2
522,3000   ,2030520,2012JJ00,79.9,2.8
523,3000   ,2030520,2013JJ00,81.1,3.1
524,3000   ,2030520,2014JJ00,81.2,2.9
525,3000   ,2030520,2015JJ00,80.0,2.7
526,3000   ,2030520,2016JJ00,79.8,3.2
