ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
750,4220  ,2009JJ00,2016.0,2037.0,2234.0,2256.0,-4.4,-4.2,90.2,90.3
751,4220  ,2010JJ00,2246.0,2265.0,2246.0,2265.0,0.5,0.4,100.0,100.0
752,4220  ,2011JJ00,2188.0,2207.0,2124.0,2143.0,-5.4,-5.4,103.0,103.0
753,4220  ,2012JJ00,2273.0,2292.0,2124.0,2143.0,0.0,0.0,107.0,106.9
754,4220  ,2013JJ00,2310.0,2329.0,2124.0,2143.0,0.0,0.0,108.7,108.7
755,4220  ,2014JJ00,2323.0,2342.0,2147.0,2165.0,1.0,1.0,108.2,108.2
756,4220  ,2015JJ00,2354.0,2373.0,2138.0,2157.0,-0.4,-0.4,110.1,110.0
757,4220  ,2016JJ00,2420.0,2439.0,2125.0,2144.0,-0.6,-0.6,113.9,113.7
758,4220  ,2017JJ00,,,,,,,,
759,4230  ,1995JJ00,71.0,71.0,102.0,102.0,,,69.4,69.4
760,4230  ,1996JJ00,76.0,76.0,107.0,107.0,5.0,5.0,70.9,70.9
761,4230  ,1997JJ00,91.0,91.0,126.0,126.0,17.1,17.1,72.8,72.8
762,4230  ,1998JJ00,78.0,78.0,116.0,116.0,-7.7,-7.7,67.5,67.5
763,4230  ,1999JJ00,104.0,104.0,149.0,149.0,28.5,28.5,70.1,70.1
764,4230  ,2000JJ00,113.0,113.0,151.0,151.0,1.7,1.7,74.4,74.4
765,4230  ,2001JJ00,99.0,99.0,123.0,123.0,-18.5,-18.5,80.4,80.4
766,4230  ,2002JJ00,80.0,80.0,96.0,96.0,-21.8,-21.8,83.1,83.1
767,4230  ,2003JJ00,97.0,97.0,110.0,110.0,14.1,14.1,87.8,87.8
768,4230  ,2004JJ00,79.0,79.0,98.0,98.0,-10.8,-10.8,80.3,80.3
769,4230  ,2005JJ00,82.0,82.0,97.0,97.0,-1.6,-1.6,85.2,85.2
770,4230  ,2006JJ00,81.0,81.0,94.0,94.0,-3.2,-3.2,87.1,87.1
771,4230  ,2007JJ00,86.0,86.0,94.0,94.0,0.5,0.5,91.7,91.7
772,4230  ,2008JJ00,82.0,82.0,87.0,87.0,-7.5,-7.5,94.2,94.2
773,4230  ,2009JJ00,76.0,76.0,78.0,78.0,-10.6,-10.6,98.1,98.1
774,4230  ,2010JJ00,91.0,91.0,91.0,91.0,17.0,17.0,100.0,100.0
