ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
433,1000,GM0482,2012JJ00,135.0
434,1000,GM0482,2013JJ00,130.0
435,1000,GM0482,2014JJ00,115.0
436,1000,GM0613,2011JJ00,90.0
437,1000,GM0613,2012JJ00,80.0
438,1000,GM0613,2013JJ00,70.0
439,1000,GM0613,2014JJ00,60.0
440,1000,GM0361,2011JJ00,465.0
441,1000,GM0361,2012JJ00,405.0
442,1000,GM0361,2013JJ00,395.0
443,1000,GM0361,2014JJ00,375.0
444,1000,GM0141,2011JJ00,495.0
445,1000,GM0141,2012JJ00,475.0
446,1000,GM0141,2013JJ00,435.0
447,1000,GM0141,2014JJ00,410.0
448,1000,GM0034,2011JJ00,1785.0
449,1000,GM0034,2012JJ00,1650.0
450,1000,GM0034,2013JJ00,1545.0
451,1000,GM0034,2014JJ00,1390.0
452,1000,GM0484,2011JJ00,420.0
453,1000,GM0484,2012JJ00,360.0
454,1000,GM0484,2013JJ00,320.0
455,1000,GM0484,2014JJ00,430.0
456,1000,GM1723,2011JJ00,35.0
457,1000,GM1723,2012JJ00,35.0
458,1000,GM1723,2013JJ00,30.0
459,1000,GM1723,2014JJ00,35.0
460,1000,GM0060,2011JJ00,20.0
461,1000,GM0060,2012JJ00,20.0
462,1000,GM0060,2013JJ00,20.0
463,1000,GM0060,2014JJ00,20.0
464,1000,GM0307,2011JJ00,870.0
465,1000,GM0307,2012JJ00,795.0
466,1000,GM0307,2013JJ00,730.0
467,1000,GM0307,2014JJ00,685.0
468,1000,GM0362,2011JJ00,310.0
469,1000,GM0362,2012JJ00,290.0
470,1000,GM0362,2013JJ00,270.0
471,1000,GM0362,2014JJ00,265.0
472,1000,GM0363,2011JJ00,3145.0
473,1000,GM0363,2012JJ00,2835.0
474,1000,GM0363,2013JJ00,2655.0
475,1000,GM0363,2014JJ00,2535.0
476,1000,GM0366,2011JJ00,55.0
477,1000,GM0366,2012JJ00,
478,1000,GM0366,2013JJ00,
479,1000,GM0366,2014JJ00,
480,1000,GM0200,2011JJ00,950.0
481,1000,GM0200,2012JJ00,880.0
482,1000,GM0200,2013JJ00,825.0
483,1000,GM0200,2014JJ00,780.0
484,1000,GM0003,2011JJ00,115.0
485,1000,GM0003,2012JJ00,115.0
486,1000,GM0003,2013JJ00,105.0
487,1000,GM0003,2014JJ00,100.0
488,1000,GM0202,2011JJ00,750.0
489,1000,GM0202,2012JJ00,690.0
490,1000,GM0202,2013JJ00,670.0
491,1000,GM0202,2014JJ00,620.0
492,1000,GM0106,2011JJ00,680.0
493,1000,GM0106,2012JJ00,630.0
494,1000,GM0106,2013JJ00,580.0
495,1000,GM0106,2014JJ00,560.0
496,1000,GM0743,2011JJ00,120.0
497,1000,GM0743,2012JJ00,105.0
498,1000,GM0743,2013JJ00,95.0
499,1000,GM0743,2014JJ00,90.0
500,1000,GM0744,2011JJ00,20.0
501,1000,GM0744,2012JJ00,20.0
502,1000,GM0744,2013JJ00,15.0
503,1000,GM0744,2014JJ00,15.0
504,1000,GM0308,2011JJ00,105.0
505,1000,GM0308,2012JJ00,80.0
506,1000,GM0308,2013JJ00,70.0
507,1000,GM0308,2014JJ00,75.0
508,1000,GM0489,2011JJ00,235.0
509,1000,GM0489,2012JJ00,215.0
510,1000,GM0489,2013JJ00,170.0
511,1000,GM0489,2014JJ00,160.0
512,1000,GM0203,2011JJ00,335.0
513,1000,GM0203,2012JJ00,335.0
514,1000,GM0203,2013JJ00,335.0
515,1000,GM0203,2014JJ00,345.0
516,1000,GM0005,2011JJ00,95.0
517,1000,GM0005,2012JJ00,90.0
518,1000,GM0005,2013JJ00,85.0
519,1000,GM0005,2014JJ00,80.0
520,1000,GM0888,2011JJ00,100.0
521,1000,GM0888,2012JJ00,100.0
522,1000,GM0888,2013JJ00,95.0
523,1000,GM0888,2014JJ00,90.0
524,1000,GM0370,2011JJ00,55.0
525,1000,GM0370,2012JJ00,55.0
526,1000,GM0370,2013JJ00,50.0
527,1000,GM0370,2014JJ00,40.0
528,1000,GM0889,2011JJ00,100.0
529,1000,GM0889,2012JJ00,90.0
530,1000,GM0889,2013JJ00,80.0
531,1000,GM0889,2014JJ00,65.0
532,1000,GM0007,2011JJ00,80.0
533,1000,GM0007,2012JJ00,75.0
534,1000,GM0007,2013JJ00,80.0
535,1000,GM0007,2014JJ00,70.0
536,1000,GM0491,2011JJ00,60.0
537,1000,GM0491,2012JJ00,55.0
538,1000,GM0491,2013JJ00,40.0
539,1000,GM0491,2014JJ00,45.0
540,1000,GM1724,2011JJ00,105.0
541,1000,GM1724,2012JJ00,90.0
542,1000,GM1724,2013JJ00,80.0
543,1000,GM1724,2014JJ00,65.0
544,1000,GM0893,2011JJ00,85.0
545,1000,GM0893,2012JJ00,80.0
546,1000,GM0893,2013JJ00,80.0
547,1000,GM0893,2014JJ00,75.0
548,1000,GM0373,2011JJ00,100.0
549,1000,GM0373,2012JJ00,95.0
550,1000,GM0373,2013JJ00,85.0
551,1000,GM0373,2014JJ00,90.0
552,1000,GM0748,2011JJ00,495.0
553,1000,GM0748,2012JJ00,445.0
554,1000,GM0748,2013JJ00,385.0
555,1000,GM0748,2014JJ00,350.0
556,1000,GM1859,2011JJ00,360.0
557,1000,GM1859,2012JJ00,320.0
558,1000,GM1859,2013JJ00,300.0
559,1000,GM1859,2014JJ00,285.0
560,1000,GM1721,2011JJ00,200.0
561,1000,GM1721,2012JJ00,185.0
562,1000,GM1721,2013JJ00,170.0
563,1000,GM1721,2014JJ00,165.0
564,1000,GM0568,2011JJ00,35.0
565,1000,GM0568,2012JJ00,30.0
566,1000,GM0568,2013JJ00,25.0
567,1000,GM0568,2014JJ00,25.0
568,1000,GM0753,2011JJ00,190.0
569,1000,GM0753,2012JJ00,150.0
570,1000,GM0753,2013JJ00,140.0
571,1000,GM0753,2014JJ00,135.0
572,1000,GM0209,2011JJ00,135.0
