ID,Geslacht,Leeftijd,IndicatieZZVEnOfZMV,IndicatieWelNietJeugdwet,Perioden,JongerenMetAWBZIndicatieInJaar_1
512,3000,40000,1200,1200,2011JJ00,55.0
513,3000,40000,1200,1200,2012JJ00,60.0
514,3000,40000,1200,1200,2013JJ00,40.0
515,3000,40000,1200,1200,2014JJ00,35.0
516,3000,40000,1300,1000,2011JJ00,1270.0
517,3000,40000,1300,1000,2012JJ00,965.0
518,3000,40000,1300,1000,2013JJ00,705.0
519,3000,40000,1300,1000,2014JJ00,670.0
520,3000,40000,1300,1100,2011JJ00,1270.0
521,3000,40000,1300,1100,2012JJ00,965.0
522,3000,40000,1300,1100,2013JJ00,705.0
523,3000,40000,1300,1100,2014JJ00,670.0
524,3000,40000,1300,1200,2011JJ00,
525,3000,40000,1300,1200,2012JJ00,
526,3000,40000,1300,1200,2013JJ00,
527,3000,40000,1300,1200,2014JJ00,
528,3000,40000,1400,1000,2011JJ00,1015.0
529,3000,40000,1400,1000,2012JJ00,890.0
530,3000,40000,1400,1000,2013JJ00,815.0
531,3000,40000,1400,1000,2014JJ00,805.0
532,3000,40000,1400,1100,2011JJ00,1015.0
533,3000,40000,1400,1100,2012JJ00,890.0
534,3000,40000,1400,1100,2013JJ00,815.0
535,3000,40000,1400,1100,2014JJ00,805.0
