ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
629,A052941,A019164,2022JJ00,2055.0
630,A052941,A019164,2023JJ00,2609.0
631,A052941,A019164,2024JJ00,3019.0
632,A052941,A019165,2021JJ00,19.0
633,A052941,A019165,2022JJ00,20.0
634,A052941,A019165,2023JJ00,23.0
635,A052941,A019165,2024JJ00,24.0
636,A052941,A044427,2021JJ00,175.0
637,A052941,A044427,2022JJ00,197.0
638,A052941,A044427,2023JJ00,211.0
639,A052941,A044427,2024JJ00,241.0
640,A052942,T001103,2021JJ00,5563.0
641,A052942,T001103,2022JJ00,6279.0
642,A052942,T001103,2023JJ00,7041.0
643,A052942,T001103,2024JJ00,8026.0
644,A052942,A019151,2021JJ00,4406.0
645,A052942,A019151,2022JJ00,4541.0
646,A052942,A019151,2023JJ00,4775.0
