ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
432,a,b,2002MM12,5046.0,242.0,,,5045.0,71.0,-170.0,5046.0,5046.0,,3810.0,3980.0,-170.0
433,a,b,2002KW04,14454.0,781.0,,,13804.0,209.0,78.0,14454.0,14454.0,,4058.0,3980.0,78.0
434,a,b,2002JJ00,57514.0,3074.0,,,55237.0,893.0,96.0,57514.0,57514.0,,4076.0,3980.0,96.0
435,a,b,2003MM01,4949.0,297.0,,,4454.0,95.0,293.0,4949.0,4949.0,,3980.0,3687.0,293.0
436,a,b,2003MM02,4671.0,252.0,,,4364.0,109.0,163.0,4671.0,4671.0,,3687.0,3524.0,163.0
437,a,b,2003MM03,4656.0,278.0,,,4900.0,166.0,-357.0,4656.0,4656.0,,3524.0,3881.0,-357.0
438,a,b,2003KW01,14275.0,828.0,,,13719.0,370.0,99.0,14275.0,14275.0,,3980.0,3881.0,99.0
439,a,b,2003MM04,4822.0,273.0,,,5219.0,170.0,-501.0,4822.0,4822.0,,3881.0,4381.0,-501.0
440,a,b,2003MM05,5303.0,240.0,,,4214.0,60.0,910.0,5303.0,5303.0,,4381.0,3471.0,910.0
441,a,b,2003MM06,4987.0,217.0,,,5295.0,78.0,-448.0,4987.0,4987.0,,3471.0,3919.0,-448.0
442,a,b,2003KW02,15112.0,731.0,,,14728.0,308.0,-38.0,15112.0,15112.0,,3881.0,3919.0,-38.0
443,a,b,2003MM07,5367.0,237.0,,,5034.0,133.0,230.0,5367.0,5367.0,,3919.0,3689.0,230.0
444,a,b,2003MM08,5284.0,243.0,,,5635.0,150.0,-443.0,5284.0,5284.0,,3689.0,4132.0,-443.0
445,a,b,2003MM09,5162.0,191.0,,,4791.0,79.0,259.0,5162.0,5162.0,,4132.0,3873.0,259.0
446,a,b,2003KW03,15813.0,671.0,,,15459.0,362.0,46.0,15813.0,15813.0,,3919.0,3873.0,46.0
447,a,b,2003MM10,4805.0,260.0,,,5003.0,95.0,-363.0,4805.0,4805.0,,3873.0,4237.0,-363.0
448,a,b,2003MM11,4590.0,280.0,,,4131.0,107.0,286.0,4590.0,4590.0,,4237.0,3951.0,286.0
449,a,b,2003MM12,5350.0,307.0,,,4462.0,99.0,680.0,5350.0,5350.0,,3951.0,3271.0,680.0
450,a,b,2003KW04,14745.0,847.0,,,13596.0,301.0,602.0,14745.0,14745.0,,3873.0,3271.0,602.0
451,a,b,2003JJ00,59945.0,3076.0,,,57502.0,1342.0,709.0,59945.0,59945.0,,3980.0,3271.0,709.0
