ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
235,T001038 ,13500,2018790,MW00000,2013G400,50.4,0.0004,39.5,43.8,21.5,46.6
236,T001038 ,13500,2018790,MW00000,2015G400,51.2,0.0004,39.8,45.2,21.0,47.1
237,T001038 ,13500,2018790,MOG0095,2011G400,49.7,,38.6,42.5,20.5,45.9
238,T001038 ,13500,2018790,MOG0095,2013G400,50.2,,38.8,43.0,20.8,46.2
239,T001038 ,13500,2018790,MOG0095,2015G400,50.9,,39.0,44.5,20.4,46.6
240,T001038 ,13500,2018790,MBG0095,2011G400,50.3,,40.0,44.0,22.0,46.9
241,T001038 ,13500,2018790,MBG0095,2013G400,50.7,,40.2,44.5,22.2,47.1
242,T001038 ,13500,2018790,MBG0095,2015G400,51.5,,40.5,45.9,21.7,47.6
243,T001038 ,14000,2018700,MW00000,2011G400,41.4,0.0014,24.9,29.8,12.9,35.4
244,T001038 ,14000,2018700,MW00000,2013G400,41.4,0.0015,24.5,29.1,12.1,34.8
245,T001038 ,14000,2018700,MW00000,2015G400,41.1,0.0018,24.0,29.1,11.3,34.2
246,T001038 ,14000,2018700,MOG0095,2011G400,41.3,,24.5,29.4,12.4,35.0
247,T001038 ,14000,2018700,MOG0095,2013G400,41.2,,24.0,28.6,11.7,34.3
248,T001038 ,14000,2018700,MOG0095,2015G400,40.9,,23.5,28.7,10.8,33.8
249,T001038 ,14000,2018700,MBG0095,2011G400,41.6,,25.3,30.3,13.4,35.9
250,T001038 ,14000,2018700,MBG0095,2013G400,41.5,,25.0,29.6,12.6,35.2
251,T001038 ,14000,2018700,MBG0095,2015G400,41.2,,24.5,29.6,11.7,34.6
252,T001038 ,14000,2018740,MW00000,2011G400,43.2,0.001,30.3,34.7,14.5,38.9
253,T001038 ,14000,2018740,MW00000,2013G400,43.2,0.001,30.6,34.8,14.4,39.0
254,T001038 ,14000,2018740,MW00000,2015G400,43.5,0.0008,30.6,35.5,14.2,39.3
255,T001038 ,14000,2018740,MOG0095,2011G400,43.0,,29.8,34.2,14.0,38.5
256,T001038 ,14000,2018740,MOG0095,2013G400,43.0,,30.1,34.3,13.9,38.6
257,T001038 ,14000,2018740,MOG0095,2015G400,43.3,,30.0,35.0,13.8,38.9
258,T001038 ,14000,2018740,MBG0095,2011G400,43.4,,30.8,35.3,15.0,39.3
259,T001038 ,14000,2018740,MBG0095,2013G400,43.4,,31.1,35.3,14.8,39.3
260,T001038 ,14000,2018740,MBG0095,2015G400,43.8,,31.1,36.0,14.7,39.7
261,T001038 ,14000,2018790,MW00000,2011G400,45.1,0.0007,34.8,38.4,18.0,41.9
262,T001038 ,14000,2018790,MW00000,2013G400,45.5,0.0005,35.1,39.0,18.1,42.2
263,T001038 ,14000,2018790,MW00000,2015G400,46.3,0.0007,35.5,40.4,17.7,42.6
264,T001038 ,14000,2018790,MOG0095,2011G400,44.8,,34.1,37.6,17.2,41.3
265,T001038 ,14000,2018790,MOG0095,2013G400,45.3,,34.4,38.2,17.4,41.7
266,T001038 ,14000,2018790,MOG0095,2015G400,46.0,,34.8,39.7,17.0,42.1
267,T001038 ,14000,2018790,MBG0095,2011G400,45.4,,35.5,39.1,18.7,42.4
268,T001038 ,14000,2018790,MBG0095,2013G400,45.8,,35.8,39.7,18.8,42.7
269,T001038 ,14000,2018790,MBG0095,2015G400,46.6,,36.3,41.1,18.3,43.1
270,T001038 ,14500,2018700,MW00000,2011G400,36.7,0.0024,21.4,25.7,10.3,31.5
271,T001038 ,14500,2018700,MW00000,2013G400,36.7,0.0025,21.1,25.1,9.9,31.0
272,T001038 ,14500,2018700,MW00000,2015G400,36.4,0.0029,20.8,25.2,9.1,30.5
