ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
494,A052795,A019152,2023JJ00,11233.0
495,A052795,A019152,2024JJ00,12341.0
496,A052795,A019154,2021JJ00,691.0
497,A052795,A019154,2022JJ00,804.0
498,A052795,A019154,2023JJ00,983.0
499,A052795,A019154,2024JJ00,1081.0
500,A052795,A019155,2021JJ00,
501,A052795,A019155,2022JJ00,
502,A052795,A019155,2023JJ00,
503,A052795,A019155,2024JJ00,
504,A052795,A019156,2021JJ00,8877.0
505,A052795,A019156,2022JJ00,9377.0
506,A052795,A019156,2023JJ00,10250.0
507,A052795,A019156,2024JJ00,11260.0
508,A052795,A041720,2021JJ00,7039.0
509,A052795,A041720,2022JJ00,7589.0
510,A052795,A041720,2023JJ00,8380.0
511,A052795,A041720,2024JJ00,8805.0
512,A052795,A019157,2021JJ00,3392.0
513,A052795,A019157,2022JJ00,3374.0
514,A052795,A019157,2023JJ00,3594.0
515,A052795,A019157,2024JJ00,3686.0
516,A052795,A019158,2021JJ00,3263.0
517,A052795,A019158,2022JJ00,3255.0
518,A052795,A019158,2023JJ00,3421.0
519,A052795,A019158,2024JJ00,3474.0
520,A052795,A019161,2021JJ00,44.0
521,A052795,A019161,2022JJ00,21.0
522,A052795,A019161,2023JJ00,69.0
523,A052795,A019161,2024JJ00,95.0
524,A052795,A019162,2021JJ00,85.0
525,A052795,A019162,2022JJ00,99.0
526,A052795,A019162,2023JJ00,104.0
527,A052795,A019162,2024JJ00,117.0
528,A052795,A019163,2021JJ00,3647.0
529,A052795,A019163,2022JJ00,4215.0
530,A052795,A019163,2023JJ00,4786.0
531,A052795,A019163,2024JJ00,5119.0
532,A052795,A019164,2021JJ00,3264.0
533,A052795,A019164,2022JJ00,3813.0
534,A052795,A019164,2023JJ00,4362.0
535,A052795,A019164,2024JJ00,4684.0
536,A052795,A019165,2021JJ00,383.0
537,A052795,A019165,2022JJ00,402.0
538,A052795,A019165,2023JJ00,424.0
539,A052795,A019165,2024JJ00,435.0
540,A052796,A019149,2021JJ00,3912.0
541,A052796,A019149,2022JJ00,3867.0
542,A052796,A019149,2023JJ00,4255.0
543,A052796,A019149,2024JJ00,4712.0
544,A052796,A019150,2021JJ00,3830.0
545,A052796,A019150,2022JJ00,3785.0
546,A052796,A019150,2023JJ00,4171.0
547,A052796,A019150,2024JJ00,4625.0
548,A052796,A019151,2021JJ00,147.0
549,A052796,A019151,2022JJ00,100.0
550,A052796,A019151,2023JJ00,78.0
551,A052796,A019151,2024JJ00,83.0
552,A052796,A019152,2021JJ00,3683.0
553,A052796,A019152,2022JJ00,3686.0
554,A052796,A019152,2023JJ00,4093.0
555,A052796,A019152,2024JJ00,4542.0
556,A052796,A019154,2021JJ00,0.0
557,A052796,A019154,2022JJ00,0.0
558,A052796,A019154,2023JJ00,0.0
559,A052796,A019154,2024JJ00,0.0
560,A052796,A019155,2021JJ00,
561,A052796,A019155,2022JJ00,
562,A052796,A019155,2023JJ00,
563,A052796,A019155,2024JJ00,
564,A052796,A019156,2021JJ00,3683.0
565,A052796,A019156,2022JJ00,3686.0
566,A052796,A019156,2023JJ00,4093.0
567,A052796,A019156,2024JJ00,4542.0
568,A052796,A041720,2021JJ00,82.0
569,A052796,A041720,2022JJ00,82.0
570,A052796,A041720,2023JJ00,84.0
571,A052796,A041720,2024JJ00,88.0
572,A052796,A019157,2021JJ00,10.0
573,A052796,A019157,2022JJ00,9.0
574,A052796,A019157,2023JJ00,9.0
575,A052796,A019157,2024JJ00,9.0
576,A052796,A019158,2021JJ00,10.0
577,A052796,A019158,2022JJ00,9.0
578,A052796,A019158,2023JJ00,9.0
579,A052796,A019158,2024JJ00,9.0
580,A052796,A019161,2021JJ00,0.0
581,A052796,A019161,2022JJ00,0.0
582,A052796,A019161,2023JJ00,0.0
583,A052796,A019161,2024JJ00,0.0
584,A052796,A019162,2021JJ00,0.0
585,A052796,A019162,2022JJ00,0.0
586,A052796,A019162,2023JJ00,0.0
587,A052796,A019162,2024JJ00,0.0
588,A052796,A019163,2021JJ00,72.0
589,A052796,A019163,2022JJ00,72.0
590,A052796,A019163,2023JJ00,75.0
